t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2441.613,0,-4.165911,-4.812345,8.30788,-0.01278317,0.03089267,-0.0958738,23,543,-525
2441.617,0.00390625,-4.10845,-4.67827,8.389283,-0.008522115,0.02769688,-0.1033307,-24,570,-508
2441.621,0.0078125,-4.122815,-4.668693,8.432378,-0.01917476,0.02024002,-0.1022654,-52,573,-537
2441.625,0.01171875,-4.046201,-4.639963,8.461109,-0.02769688,0.02130529,-0.1033307,-39,547,-536
2441.629,0.015625,-4.060566,-4.510676,8.494627,-0.04048005,0.01704423,-0.1065264,29,572,-522
2441.633,0.01953125,-3.955221,-4.453215,8.418013,-0.05219796,0.007456851,-0.1150486,-80,536,-498
2441.637,0.0234375,-3.888183,-4.414908,8.398859,-0.06072007,0.01171791,-0.1139833,-22,582,-519
2441.641,0.02734375,-3.801992,-4.424485,8.408436,-0.07350325,0.01597897,-0.1118528,-9,566,-552
2441.645,0.03125,-3.773262,-4.357447,8.432378,-0.08735168,0.0149137,-0.108657,21,557,-532
2441.648,0.03515625,-3.811569,-4.285621,8.451532,-0.1033307,0.0181095,-0.1065264,0,556,-516
2441.652,0.0390625,-3.859453,-4.304775,8.489839,-0.1171791,0.01917476,-0.1043959,-10,525,-529
2441.656,0.04296875,-3.754108,-4.338293,8.389283,-0.1299623,0.02130529,-0.1001349,18,577,-523
2441.66,0.046875,-3.720589,-4.486734,8.283938,-0.1342233,0.01065264,-0.08841695,-29,586,-565
2441.664,0.05078125,-3.667917,-4.572925,8.264784,-0.1363538,0.01278317,-0.07989483,33,528,-506
2441.668,0.0546875,-3.744531,-4.716577,8.269573,-0.1331581,0.02237055,-0.07030745,10,556,-499
2441.672,0.05859375,-3.854665,-4.845864,8.169016,-0.1246359,0.0149137,-0.05965481,-13,567,-500
2441.676,0.0625,-3.878607,-4.979939,8.197746,-0.1193096,0.0149137,-0.05219796,-42,585,-565
2441.68,0.06640625,-3.921702,-4.951209,8.2169,-0.112918,0.01704423,-0.05113269,16,607,-535
2441.684,0.0703125,-3.921702,-4.831499,8.255207,-0.1107875,0.01278317,-0.04367584,-25,555,-558
2441.688,0.07421875,-3.86903,-4.683058,8.360552,-0.1022654,0.005326322,-0.03408846,-12,575,-520
2441.691,0.078125,-3.964798,-4.55856,8.508993,-0.09693906,-0.00958738,-0.02769688,-7,560,-515
2441.695,0.08203125,-4.031836,-4.663905,8.298303,-0.08841695,-0.02556635,-0.02237055,4,540,-516
2441.699,0.0859375,-3.859453,-4.644751,8.197746,-0.08841695,-0.01704423,-0.02024002,-7,613,-509
2441.703,0.08984375,-3.816357,-4.778827,8.360552,-0.0809601,-0.02024002,-0.01278317,-4,576,-476
2441.707,0.09375,-3.859453,-4.812345,8.245631,-0.06817692,-0.02769688,-0.005326322,-22,553,-520
