t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2443.184,-0.00140625,-9.581595,-3.189077,-2.413355,0.1928129,0.0298274,-0.1938781,-1111,1992,90
2443.188,0.0025,-9.514557,-3.213019,-2.42772,0.237554,0.00958738,-0.1864213,-1156,2023,127
2443.191,0.00640625,-9.514557,-3.117251,-2.274492,0.2886867,-0.01065264,-0.1778992,-1159,2066,125
2443.195,0.0103125,-9.461885,-2.738967,-2.082955,0.3557983,-0.02876214,-0.169377,-1138,2043,81
2443.199,0.01421875,-9.418789,-2.355894,-1.972822,0.3845605,-0.04580637,-0.1619202,-1131,2064,87
2443.203,0.018125,-9.390059,-1.987187,-1.905785,0.4037352,-0.05752428,-0.1597897,-1134,2009,104
2443.207,0.02203125,-9.299079,-1.714248,-1.733402,0.4197142,-0.06817692,-0.1565939,-1136,1985,106
2443.211,0.0259375,-9.308656,-1.37906,-1.61848,0.4261058,-0.07030745,-0.1523328,-1197,2053,82
2443.215,0.02984375,-9.275137,-1.096544,-1.565808,0.4090615,-0.0777643,-0.1533981,-1147,1989,70
2443.219,0.03375,-9.323021,-0.9337386,-1.537077,0.3888215,-0.08522115,-0.1544633,-1151,2038,80
2443.223,0.03765625,-9.318233,-0.8044518,-1.446098,0.366451,-0.09161274,-0.1523328,-1141,1981,35
2443.227,0.0415625,-9.270349,-0.6943185,-1.340753,0.3291667,-0.08522115,-0.1533981,-1121,1961,169
2443.23,0.04546875,-9.212888,-0.6224924,-1.273715,0.2897519,-0.09161274,-0.1544633,-1150,2022,120
2443.234,0.049375,-9.251195,-0.5602432,-1.225831,0.2535329,-0.09800433,-0.1576591,-1168,2017,116
2443.238,0.05328125,-9.260772,-0.6847417,-1.197101,0.2162487,-0.09906959,-0.1555286,-1132,2025,61
2443.242,0.0571875,-9.241618,-0.8140286,-1.264138,0.1778992,-0.09480853,-0.1544633,-1130,2026,98
2443.246,0.06109375,-9.318233,-0.8954314,-1.206678,0.144876,-0.09906959,-0.1565939,-1128,2000,131
2443.25,0.065,-9.303868,-1.029507,-1.16837,0.1214401,-0.1107875,-0.1576591,-1177,2002,99
2443.254,0.06890625,-9.284714,-1.16837,-1.211466,0.1075917,-0.1139833,-0.1587244,-1131,2007,66
2443.258,0.0728125,-9.284714,-1.340753,-1.192312,0.09906959,-0.1075917,-0.1608549,-1116,2035,103
2443.262,0.07671875,-9.303868,-1.412579,-1.302446,0.1012001,-0.1097222,-0.1672465,-1137,1988,94
2443.266,0.080625,-9.303868,-1.513135,-1.28808,0.1043959,-0.1214401,-0.1683118,-1147,1967,117
2443.27,0.08453125,-9.289502,-1.656788,-1.28808,0.1182444,-0.1246359,-0.1715076,-1160,2041,126
2443.273,0.0884375,-9.313444,-1.757344,-1.278504,0.1502023,-0.1182444,-0.1725728,-1154,2059,34
2443.277,0.09234375,-9.346963,-1.781286,-1.264138,0.169377,-0.1257012,-0.1736381,-1125,2071,104
2443.281,0.09625,-9.35654,-1.762132,-1.249773,0.1800297,-0.1363538,-0.1715076,-1121,2003,84
2443.285,0.1001563,-9.370905,-1.723825,-1.302446,0.1906823,-0.1438107,-0.1683118,-1138,2003,149
2443.289,0.1040625,-9.346963,-1.714248,-1.278504,0.2002697,-0.1459412,-0.1672465,-1149,2022,83
2443.293,0.1079688,-9.323021,-1.675941,-1.244985,0.205596,-0.1480718,-0.1629855,-1152,1999,133
2443.297,0.111875,-9.32781,-1.613692,-1.23062,0.1960087,-0.1587244,-0.1629855,-1102,2008,77
2443.301,0.1157813,-9.251195,-1.651999,-1.134852,0.1832255,-0.1661813,-0.1587244,-1099,1983,83
2443.305,0.1196875,-9.299079,-1.719037,-1.177947,0.165116,-0.1672465,-0.1523328,-1096,1977,75
2443.309,0.1235938,-9.241618,-1.781286,-1.187524,0.1384844,-0.169377,-0.1470065,-1184,1978,125
2443.312,0.1275,-9.318233,-1.92015,-1.206678,0.1107875,-0.1736381,-0.1427454,-1187,1994,73
2443.316,0.1314063,-9.260772,-2.073379,-1.206678,0.08628642,-0.1864213,-0.1363538,-1134,2043,84
2443.32,0.1353125,-9.294291,-2.154781,-1.316811,0.06711166,-0.1917476,-0.1310275,-1118,1970,96
2443.324,0.1392188,-9.279926,-2.087744,-1.25935,0.05326322,-0.1928129,-0.1267665,-1127,2021,131
2443.328,0.143125,-9.193734,-1.94888,-1.292869,0.04154531,-0.2034655,-0.1193096,-1174,2029,111
2443.332,0.1470313,-9.179369,-1.977611,-1.221043,0.02769688,-0.2109224,-0.1171791,-1177,2009,86
2443.336,0.1509375,-9.112332,-1.881843,-1.177947,0.006391587,-0.205596,-0.1161138,-1102,2008,77
2443.34,0.1548438,-9.107543,-1.896208,-1.072602,-0.005326322,-0.1960087,-0.1161138,-1101,2009,99
2443.344,0.15875,-9.179369,-1.900996,-0.9624691,-0.0149137,-0.2045308,-0.1150486,-1165,2017,137
2443.348,0.1626563,-9.184158,-1.929727,-1.010353,-0.02556635,-0.2077266,-0.1139833,-1149,2008,113
2443.352,0.1665625,-9.255984,-1.972822,-0.9624691,-0.03834952,-0.2045308,-0.1097222,-1161,2023,56
2443.355,0.1704688,-9.332598,-2.073379,-1.000776,-0.04474111,-0.201335,-0.1033307,-1109,2063,102
2443.359,0.174375,-9.284714,-2.207454,-0.9528923,-0.03941478,-0.2162487,-0.09693906,-1117,2007,87
2443.363,0.1782813,-9.270349,-2.245761,-0.8283938,-0.0298274,-0.221575,-0.09480853,-1136,2007,118
2443.367,0.1821875,-9.23683,-2.274492,-0.8858546,-0.02769688,-0.2119876,-0.09374327,-1169,1998,94
2443.371,0.1860938,-9.232042,-2.221819,-0.8044518,-0.008522115,-0.2045308,-0.09374327,-1156,2020,83
2443.375,0.19,-9.251195,-2.217031,-0.6320692,0.005326322,-0.2066613,-0.09374327,-1101,2003,106
2443.379,0.1939063,-9.203311,-2.274492,-0.5841852,0.01917476,-0.2077266,-0.09161274,-1118,1977,111
2443.383,0.1978125,-9.284714,-2.42772,-0.5650316,0.02663161,-0.1981392,-0.08841695,-1166,1999,142
2443.387,0.2017188,-9.318233,-2.748544,-0.4309563,0.04154531,-0.1864213,-0.08309063,-1159,2019,125
2443.391,0.205625,-9.380482,-2.906561,-0.4070143,0.06072007,-0.1928129,-0.07882957,-1149,2005,78
2443.395,0.2095313,-9.370905,-3.078943,-0.2681506,0.07989483,-0.1949434,-0.07350325,-1134,2023,55
2443.398,0.2134375,-9.375694,-3.093309,-0.3112462,0.1022654,-0.1800297,-0.06711166,-1127,1982,121
2443.402,0.2173438,-9.318233,-3.045425,-0.2011129,0.1320928,-0.1704423,-0.05752428,-1126,2017,125
2443.406,0.22125,-9.303868,-2.901772,-0.2154781,0.1587244,-0.1736381,-0.05539375,-1118,2011,124
2443.41,0.2251563,-9.303868,-2.72939,-0.1628057,0.169377,-0.1736381,-0.0479369,-1133,2015,75
2443.414,0.2290625,-9.279926,-2.566584,-0.1484405,0.1736381,-0.1640507,-0.04154531,-1146,1942,83
2443.418,0.2329688,-9.251195,-2.422932,-0.1388637,0.1661813,-0.1597897,-0.03621899,-1127,2043,75
2443.422,0.236875,-9.318233,-2.25055,-0.08619126,0.1427454,-0.1533981,-0.03195793,-1172,1999,133
2443.426,0.2407813,-9.241618,-2.130839,-0.04788403,0.1161138,-0.1555286,-0.02663161,-1122,1998,118
2443.43,0.2446875,-9.23683,-2.035071,0.01436521,0.08522115,-0.1416802,-0.02450108,-1164,2054,110
2443.434,0.2485938,-9.131485,-1.968034,0.05267244,0.0479369,-0.1310275,-0.01917476,-1111,1986,80
2443.438,0.2525,-9.107543,-1.944092,0.1101333,0.00958738,-0.1257012,-0.0149137,-1115,2015,104
2443.441,0.2564063,-9.126697,-1.939303,0.1675941,-0.008522115,-0.1193096,-0.01278317,-1132,2025,105
2443.445,0.2603125,-9.131485,-1.972822,0.1340753,-0.02769688,-0.1054612,-0.00958738,-1144,1998,104
2443.449,0.2642188,-9.184158,-2.015918,0.1436521,-0.04048005,-0.09161274,-0.006391587,-1115,2028,96
2443.453,0.268125,-9.155427,-2.097321,0.1771709,-0.04048005,-0.08309063,-0.006391587,-1128,1910,88
2443.457,0.2720313,-9.14585,-2.06859,0.09576807,-0.03515373,-0.07989483,-0.006391587,-1129,2022,113
2443.461,0.2759375,-9.174581,-1.996764,0.04309563,-0.02663161,-0.07137272,-0.00958738,-1135,1990,83
2443.465,0.2798438,-9.203311,-1.814805,-0.03351882,-0.02663161,-0.05645902,-0.00958738,-1126,2044,73
2443.469,0.28375,-9.174581,-1.623269,-0.05746084,-0.02663161,-0.05752428,-0.01278317,-1129,2027,40
2443.473,0.2876563,-9.155427,-1.422156,-0.1388637,-0.0298274,-0.05645902,-0.01597897,-1105,1989,69
2443.477,0.2915625,-9.112332,-1.283292,-0.07182605,-0.03408846,-0.04154531,-0.02130529,-1097,1989,132
2443.48,0.2954688,-9.141062,-1.154005,-0.09576807,-0.04154531,-0.02663161,-0.02237055,-1165,2002,116
2443.484,0.299375,-9.093178,-1.134852,-0.06703765,-0.06072007,-0.0181095,-0.02663161,-1195,2013,108
2443.488,0.3032813,-9.126697,-1.125275,-0.09097966,-0.06817692,-0.01065264,-0.03089267,-1145,2022,83
2443.492,0.3071875,-9.126697,-1.16837,-0.02873042,-0.07563377,0.005326322,-0.03515373,-1109,1988,77
2443.496,0.3110938,-9.14585,-1.115698,0.03351882,-0.08202536,0.01278317,-0.04048005,-1081,1973,101
2443.5,0.315,-9.198523,-1.082179,-0.02394202,-0.09800433,0.02450108,-0.04154531,-1162,1951,113
2443.504,0.3189063,-9.097966,-1.077391,0.01436521,-0.1075917,0.02769688,-0.04900216,-1139,2011,100
2443.508,0.3228125,-9.131485,-1.086968,0.1292869,-0.1171791,0.03834952,-0.05539375,-1112,2043,68
2443.512,0.3267188,-9.078813,-1.058237,0.1819593,-0.1299623,0.05326322,-0.0660464,-1106,1995,88
2443.516,0.330625,-9.112332,-1.077391,0.2777274,-0.1555286,0.07137272,-0.07563377,-1136,2000,114
2443.52,0.3345313,-9.102755,-1.187524,0.3782839,-0.1725728,0.07882957,-0.08415589,-1147,2052,115
2443.523,0.3384375,-9.11712,-1.211466,0.4357447,-0.185356,0.08948221,-0.09267801,-1164,2054,92
2443.527,0.3423438,-9.02614,-1.211466,0.4692635,-0.2045308,0.1033307,-0.1001349,-1121,2044,103
2443.531,0.34625,-9.074024,-1.158794,0.545878,-0.2300971,0.1246359,-0.1065264,-1108,2019,69
2443.535,0.3501563,-9.006987,-1.235408,0.5746084,-0.2460761,0.1310275,-0.112918,-1128,2019,99
2443.539,0.3540625,-8.944737,-1.23062,0.6320692,-0.2631203,0.1438107,-0.1214401,-1146,1989,122
2443.543,0.3579688,-8.987833,-1.25935,0.641646,-0.2844256,0.1640507,-0.1278317,-1191,2030,90
2443.547,0.361875,-8.949526,-1.216254,0.6464344,-0.3046656,0.1778992,-0.1331581,-1115,2051,71
2443.551,0.3657813,-8.935161,-1.201889,0.6655881,-0.3334278,0.1885518,-0.1438107,-1108,1949,119
2443.555,0.3696875,-8.939949,-1.192312,0.6751649,-0.350472,0.2045308,-0.1555286,-1126,2012,97
2443.559,0.3735938,-8.968679,-1.235408,0.5985504,-0.3717773,0.221575,-0.1629855,-1144,2026,84
2443.562,0.3775,-8.925584,-1.240196,0.5889736,-0.3930826,0.2396845,-0.169377,-1167,1998,86
2443.566,0.3814063,-8.959103,-1.345541,0.5793968,-0.4165184,0.2545982,-0.1832255,-1121,2090,65
2443.57,0.3853125,-8.978256,-1.345541,0.5841852,-0.4282363,0.2727077,-0.1896171,-1137,2004,99
2443.574,0.3892188,-8.968679,-1.460463,0.5315128,-0.4378237,0.2918825,-0.1981392,-1203,2001,141
2443.578,0.393125,-8.944737,-1.522712,0.3878607,-0.4442153,0.3014698,-0.2024002,-1163,2036,146
2443.582,0.3970313,-8.935161,-1.584961,0.4022259,-0.4463458,0.3206446,-0.2119876,-1161,2021,119
2443.586,0.4009375,-8.99741,-1.651999,0.2873042,-0.4442153,0.3323625,-0.2194445,-1090,1980,105
2443.59,0.4048438,-8.939949,-1.642422,0.3064578,-0.4356932,0.3515373,-0.2247708,-1132,2015,118
2443.594,0.40875,-8.954314,-1.599327,0.2202666,-0.4324974,0.3643204,-0.2322276,-1161,1982,104
2443.598,0.4126563,-9.016563,-1.594538,0.2154781,-0.4239752,0.3749731,-0.2450108,-1129,2027,98
2443.602,0.4165625,-8.939949,-1.493982,0.2059013,-0.4154531,0.3845605,-0.2524677,-1201,2028,98
2443.605,0.4204688,-8.935161,-1.412579,0.1197101,-0.40267,0.3984089,-0.2652508,-1086,1992,99
2443.609,0.424375,-9.016563,-1.417367,0.06224924,-0.3952131,0.4090615,-0.2759035,-1122,1994,141
2443.613,0.4282813,-8.973468,-1.493982,-0.1963245,-0.386691,0.4207795,-0.2886867,-1174,2021,141
2443.617,0.4321875,-9.035717,-1.632846,-0.344765,-0.370712,0.4250405,-0.2950782,-1132,2024,141
2443.621,0.4360938,-9.054871,-1.833958,-0.4405331,-0.3483415,0.4335626,-0.3004046,-1183,2002,71
2443.625,0.44,-9.011775,-1.881843,-0.545878,-0.3366236,0.44315,-0.3004046,-1127,2036,103
2443.629,0.4439063,-9.016563,-1.867477,-0.6655881,-0.3227751,0.4484763,-0.3004046,-1126,2004,131
2443.633,0.4478125,-9.02614,-1.891419,-0.6320692,-0.3067962,0.4559332,-0.3004046,-1156,1957,105
2443.637,0.4517188,-8.978256,-1.848324,-0.7374141,-0.2908172,0.4623248,-0.298274,-1144,2012,108
2443.641,0.455625,-9.050082,-1.915361,-0.7613561,-0.273773,0.4751079,-0.2993393,-1148,1997,90
2443.645,0.4595313,-9.059659,-1.905785,-0.7996634,-0.2428803,0.4857606,-0.3057309,-1107,1984,72
2443.648,0.4634375,-9.112332,-1.929727,-0.7709329,-0.2258361,0.4878911,-0.309992,-1125,1979,140
2443.652,0.4673438,-9.093178,-1.958457,-0.8236054,-0.2173139,0.495348,-0.3195793,-1143,1993,123
2443.656,0.47125,-9.02614,-1.910573,-0.6655881,-0.2098571,0.5134575,-0.3259709,-1113,2045,86
2443.66,0.4751563,-8.935161,-1.723825,-0.5315128,-0.2141182,0.5262406,-0.3291667,-1157,2010,133
2443.664,0.4790625,-8.925584,-1.604115,-0.4788403,-0.2300971,0.5219796,-0.3376888,-1085,2012,95
2443.668,0.4829688,-8.916007,-1.49877,-0.5315128,-0.2364887,0.5294364,-0.3419499,-1156,2048,134
2443.672,0.486875,-8.829816,-1.546654,-0.5363012,-0.2396845,0.5464807,-0.3419499,-1155,1971,154
2443.676,0.4907813,-8.882488,-1.68073,-0.5554548,-0.2343582,0.5667207,-0.3376888,-1151,2037,108
2443.68,0.4946875,-8.848969,-1.92015,-0.4453215,-0.221575,0.5731123,-0.3355583,-1161,2025,42
2443.684,0.4985938,-8.8777,-2.020706,-0.4453215,-0.2119876,0.5763081,-0.3366236,-1135,2002,91
2443.688,0.5025,-8.801085,-1.987187,-0.3303998,-0.2024002,0.5954828,-0.3408846,-1124,1989,106
2443.691,0.5064063,-8.647856,-1.877054,-0.2537854,-0.2002697,0.6189186,-0.3526025,-1137,1983,148
2443.695,0.5103125,-8.657433,-1.690306,-0.2633622,-0.1864213,0.6359629,-0.370712,-1126,2037,111
2443.699,0.5142188,-8.796297,-1.561019,-0.1819593,-0.1885518,0.6455502,-0.3802994,-1124,2030,65
2443.703,0.518125,-8.810662,-1.671153,-0.2106897,-0.1896171,0.6583334,-0.3802994,-1115,1989,120
2443.707,0.5220313,-8.801085,-1.934515,-0.3878607,-0.1747034,0.6764429,-0.3792341,-1134,1980,129
2443.711,0.5259375,-8.777143,-2.355894,-0.5841852,-0.1352886,0.6934871,-0.3760383,-1147,2019,125
2443.715,0.5298438,-8.753201,-2.681506,-0.7278373,-0.1107875,0.6998787,-0.3760383,-1159,1975,69
2443.719,0.53375,-8.686164,-2.916138,-0.9050082,-0.08202536,0.7084008,-0.3877563,-1137,2028,78
2443.723,0.5376563,-8.705317,-2.868254,-0.9241618,-0.05752428,0.7158577,-0.3994742,-1091,2008,99
