t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2437.223,-0.00075,-10.52012,1.762132,-0.545878,-0.7542072,0.02024002,-0.221575,519,758,72
2437.227,0.00315625,-10.53449,1.436521,-0.6751649,-0.7147924,0.05539375,-0.185356,514,788,71
2437.23,0.0070625,-10.59195,1.163582,-0.7852981,-0.6700513,0.08628642,-0.1533981,425,759,104
2437.234,0.01096875,-10.72602,0.8283938,-0.8571242,-0.6146576,0.0958738,-0.1203749,476,778,68
2437.238,0.014875,-10.72602,0.3974375,-0.9624691,-0.535828,0.08948221,-0.07456851,498,766,80
2437.242,0.01878125,-10.61589,0.09097966,-1.125275,-0.4719121,0.06924219,-0.0330232,505,781,80
2437.246,0.0226875,-10.43393,-0.2442086,-1.23062,-0.4037352,0.0660464,0.008522115,465,762,95
2437.25,0.02659375,-10.18493,-0.6607997,-1.149217,-0.2822951,0.0809601,0.06072007,474,754,55
2437.254,0.0305,-10.10353,-0.8523358,-0.818817,-0.181095,0.1001349,0.09693906,459,756,99
2437.258,0.03440625,-10.06044,-1.034295,-0.6368576,-0.0777643,0.1139833,0.1299623,497,748,101
2437.262,0.0383125,-10.01734,-1.201889,-0.5650316,0.05965481,0.1257012,0.1683118,466,781,86
2437.266,0.04221875,-9.988609,-1.264138,-0.4836287,0.169377,0.1310275,0.1938781,487,762,108
2437.27,0.046125,-9.945514,-1.23062,-0.4453215,0.273773,0.1278317,0.2141182,506,781,50
2437.273,0.05003125,-9.945514,-1.082179,-0.4501099,0.3749731,0.1214401,0.2300971,483,769,102
2437.277,0.0539375,-10.0317,-0.8762778,-0.56982,0.4942827,0.1203749,0.2439456,508,772,118
2437.281,0.05784375,-10.10832,-0.6799533,-0.6033388,0.5656554,0.1139833,0.2482066,470,786,80
2437.285,0.06175,-10.15142,-0.4836287,-0.6033388,0.6210492,0.1150486,0.2492719,468,766,72
2437.289,0.06565625,-10.18493,-0.2154781,-0.5075708,0.6764429,0.1033307,0.2503371,476,772,83
2437.293,0.0695625,-10.24718,-0.004788403,-0.4501099,0.7073356,0.09161274,0.2514024,486,780,64
2437.297,0.07346875,-10.15142,0.2394202,-0.3830723,0.7275756,0.0777643,0.2567287,520,779,112
2437.301,0.077375,-10.09395,0.3687071,-0.296881,0.7403588,0.05858954,0.2652508,466,777,81
2437.305,0.08128125,-10.10353,0.5602432,-0.3160346,0.7510114,0.05432849,0.2769688,496,756,93
2437.309,0.0851875,-10.08438,0.6847417,-0.3495534,0.757403,0.05006743,0.2833603,463,760,56
2437.312,0.08909375,-10.1993,0.8858546,-0.3974375,0.757403,0.05432849,0.2908172,451,750,110
2437.316,0.093,-10.23282,0.9672575,-0.4453215,0.757403,0.04900216,0.2950782,484,783,103
2437.32,0.09690625,-10.19451,1.005565,-0.4070143,0.7616641,0.0479369,0.3036004,462,788,80
2437.324,0.1008125,-10.13705,1.01993,-0.4596867,0.7627293,0.03834952,0.3121225,486,763,81
2437.328,0.1047187,-10.02213,0.9959879,-0.5650316,0.7637946,0.03515373,0.3238404,476,786,60
2437.332,0.108625,-9.92636,0.9720459,-0.6847417,0.757403,0.03621899,0.3376888,475,791,46
2437.336,0.1125312,-9.849746,0.9624691,-0.7757213,0.7446198,0.04367584,0.3451457,485,772,83
2437.34,0.1164375,-9.801862,1.000776,-0.8523358,0.7243798,0.04367584,0.350472,475,782,68
2437.344,0.1203437,-9.859322,0.9576807,-0.9385271,0.6743124,0.05432849,0.3515373,458,765,59
2437.348,0.12425,-9.878476,1.120486,-1.010353,0.6306365,0.05858954,0.350472,483,738,109
2437.352,0.1281562,-9.931148,1.221043,-1.053449,0.588026,0.06178534,0.3472762,460,755,62
2437.355,0.1320625,-9.89763,1.273715,-1.149217,0.5496764,0.06817692,0.3430151,449,756,70
2437.359,0.1359687,-9.983821,1.493982,-1.154005,0.5038701,0.07030745,0.3334278,449,768,85
2437.363,0.139875,-10.01255,1.642422,-1.197101,0.4708469,0.06924219,0.3259709,486,791,81
2437.367,0.1437812,-10.10353,1.714248,-1.28808,0.4346279,0.0628506,0.3206446,486,775,116
2437.371,0.1476875,-10.17057,1.771709,-1.355118,0.3802994,0.06178534,0.3089267,477,766,122
2437.375,0.1515937,-10.17057,1.70946,-1.47004,0.334493,0.05752428,0.3004046,488,786,77
2437.379,0.1555,-10.22803,1.719037,-1.608904,0.2812298,0.06498113,0.2897519,462,771,73
2437.383,0.1594062,-10.18972,1.781286,-1.728614,0.2237055,0.06391587,0.2790993,484,792,63
2437.387,0.1633125,-10.13705,1.877054,-1.742979,0.1470065,0.05219796,0.2641856,483,749,108
2437.391,0.1672187,-10.12268,1.972822,-1.733402,0.08948221,0.05326322,0.257794,467,773,114
2437.395,0.171125,-10.11311,2.06859,-1.742979,0.03408846,0.04474111,0.2524677,485,773,98
2437.398,0.1750312,-10.07001,2.059013,-1.776498,-0.04154531,0.04048005,0.2503371,453,781,40
2437.402,0.1789375,-10.12747,2.078167,-1.872266,-0.09480853,0.0330232,0.2492719,484,767,80
2437.406,0.1828437,-10.1993,2.011129,-1.991976,-0.1395496,0.02556635,0.241815,463,791,52
2437.41,0.18675,-10.3238,1.924938,-1.996764,-0.1885518,0.03089267,0.2354234,482,784,80
2437.414,0.1906562,-10.32859,1.786074,-2.044648,-0.2514024,0.02237055,0.221575,471,795,74
2437.418,0.1945625,-10.2807,1.651999,-2.06859,-0.2950782,0.02450108,0.2183792,479,775,111
2437.422,0.1984687,-10.20888,1.556231,-2.006341,-0.3366236,0.01917476,0.2173139,479,763,102
2437.426,0.202375,-10.18493,1.340753,-1.996764,-0.3760383,0.005326322,0.2247708,492,732,75
2437.43,0.2062812,-10.12268,1.096544,-1.934515,-0.3888215,-0.01065264,0.2290319,403,769,113
2437.434,0.2101875,-10.16578,0.9050082,-1.987187,-0.3941478,-0.02876214,0.2364887,476,780,46
2437.438,0.2140937,-10.06044,0.6320692,-1.944092,-0.3792341,-0.04048005,0.2460761,537,792,92
2437.441,0.218,-9.92636,0.4357447,-1.987187,-0.3536678,-0.05219796,0.2535329,454,764,78
2437.445,0.2219062,-9.89763,0.2777274,-2.03986,-0.3238404,-0.04900216,0.2631203,465,770,85
2437.449,0.2258125,-9.89763,0.07661445,-2.097321,-0.2822951,-0.04687164,0.2748382,475,776,95
2437.453,0.2297187,-9.830592,-0.1388637,-2.140416,-0.2205097,-0.04154531,0.2908172,452,768,88
2437.457,0.233625,-9.821015,-0.2681506,-2.217031,-0.1715076,-0.03621899,0.3036004,489,787,104
