t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2455.254,0.0014375,-9.830592,0.05746084,2.264915,0.1587244,0.01278317,-0.04900216,309,-1038,90
2455.258,0.00534375,-9.768343,0.004788403,2.25055,0.1502023,0.008522115,-0.0479369,227,-1043,56
2455.262,0.00925,-9.797073,0.05267244,2.327164,0.1480718,0.01384844,-0.04367584,270,-1023,47
2455.266,0.01315625,-9.811438,0.03351882,2.284068,0.144876,0.005326322,-0.04154531,341,-1009,33
2455.27,0.0170625,-9.768343,0.004788403,2.274492,0.1374191,-0.001065264,-0.04048005,295,-1097,80
2455.273,0.02096875,-9.71567,-0.02873042,2.288857,0.1310275,0.006391587,-0.03621899,312,-1050,48
2455.277,0.024875,-9.730036,-0.03351882,2.346318,0.1310275,0.01171791,-0.03195793,260,-990,75
2455.281,0.02878125,-9.77792,-0.04788403,2.317587,0.1246359,-0.001065264,-0.0298274,268,-1019,23
2455.285,0.0326875,-9.787496,-0.04788403,2.269703,0.1161138,0.001065264,-0.02663161,334,-987,26
2455.289,0.03659375,-9.749189,-0.06224924,2.284068,0.1193096,0.01065264,-0.02237055,296,-1080,27
2455.293,0.0405,-9.734824,-0.09097966,2.27928,0.1161138,0.004261058,-0.02237055,282,-1056,92
2455.297,0.04440625,-9.720459,-0.1005565,2.25055,0.108657,-0.002130529,-0.01917476,264,-1061,74
2455.301,0.0483125,-9.734824,-0.1244985,2.327164,0.108657,0.002130529,-0.01704423,281,-1010,23
2455.305,0.05221875,-9.706094,-0.1244985,2.255338,0.1097222,0.001065264,-0.0149137,306,-1045,40
2455.309,0.056125,-9.768343,-0.1244985,2.293645,0.1075917,-0.007456851,-0.0181095,316,-1049,54
2455.312,0.06003125,-9.71567,-0.1484405,2.25055,0.1054612,-0.007456851,-0.0149137,265,-1020,72
2455.316,0.0639375,-9.667786,-0.2011129,2.226608,0.1054612,-0.003195793,-0.01278317,259,-997,43
2455.32,0.06784375,-9.734824,-0.2298434,2.193089,0.1054612,-0.01278317,-0.01384844,316,-1004,5
2455.324,0.07175,-9.734824,-0.2394202,2.255338,0.1012001,-0.01917476,-0.01384844,334,-1028,75
