t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2492.676,0,-9.811438,-0.8954314,-0.1388637,-0.02663161,0.01597897,0.01597897,982,-629,523
2492.68,0.00390625,-9.782708,-0.9097966,-0.1388637,-0.02343582,0.01278317,0.01384844,935,-649,506
2492.684,0.0078125,-9.734824,-0.9241618,-0.1388637,-0.02450108,0.01704423,0.01384844,912,-628,507
2492.688,0.01171875,-9.801862,-0.9097966,-0.1819593,-0.02237055,0.01704423,0.01278317,941,-629,488
2492.691,0.015625,-9.744401,-0.9433155,-0.1436521,-0.02130529,0.01597897,0.01384844,918,-629,500
2492.695,0.01953125,-9.744401,-0.8714894,-0.1484405,-0.0181095,0.0149137,0.01065264,943,-711,491
2492.699,0.0234375,-9.787496,-0.9385271,-0.1436521,-0.0181095,0.01065264,0.008522115,907,-644,507
2492.703,0.02734375,-9.753978,-0.890643,-0.1628057,-0.01384844,0.01278317,0.007456851,883,-616,534
2492.707,0.03125,-9.77792,-0.9720459,-0.1819593,-0.01278317,0.01384844,0.00958738,912,-630,470
2492.711,0.03515625,-9.753978,-0.9768343,-0.1580173,-0.01171791,0.01278317,0.00958738,899,-626,520
2492.715,0.0390625,-9.753978,-0.9433155,-0.1915361,-0.01171791,0.01278317,0.00958738,917,-620,506
2492.719,0.04296875,-9.821015,-0.9481039,-0.1771709,-0.008522115,0.01065264,0.007456851,941,-607,518
2492.723,0.046875,-9.787496,-0.914585,-0.1723825,-0.008522115,0.00958738,0.006391587,928,-621,497
2492.727,0.05078125,-9.758766,-0.9337386,-0.1244985,-0.008522115,0.00958738,0.006391587,923,-620,552
2492.73,0.0546875,-9.758766,-0.8858546,-0.1675941,-0.00958738,0.01065264,0.006391587,908,-624,511
2492.734,0.05859375,-9.821015,-0.8954314,-0.1628057,-0.01065264,0.01065264,0.008522115,901,-619,476
2492.738,0.0625,-9.77792,-0.8714894,-0.2059013,-0.01171791,0.00958738,0.005326322,917,-609,514
2492.742,0.06640625,-9.792285,-0.8044518,-0.1867477,-0.01384844,0.01171791,0.006391587,911,-624,536
2492.746,0.0703125,-9.811438,-0.9289502,-0.1436521,-0.01597897,0.01384844,0.004261058,920,-631,513
2492.75,0.07421875,-9.797073,-0.8619126,-0.1963245,-0.0181095,0.01278317,0.005326322,887,-608,511
2492.754,0.078125,-9.77792,-0.8523358,-0.1484405,-0.02024002,0.0149137,0.005326322,902,-673,480
2492.758,0.08203125,-9.744401,-0.8858546,-0.1915361,-0.02237055,0.0149137,0.006391587,878,-607,481
2492.762,0.0859375,-9.753978,-0.8714894,-0.248997,-0.02663161,0.0149137,0.006391587,869,-625,536
2492.766,0.08984375,-9.792285,-0.9002198,-0.1915361,-0.02663161,0.0149137,0.005326322,912,-626,512
2492.77,0.09375,-9.739612,-0.8810662,-0.1723825,-0.02556635,0.01384844,0.004261058,931,-633,520
2492.773,0.09765625,-9.753978,-0.866701,-0.1819593,-0.02769688,0.0149137,0.006391587,885,-608,512
2492.777,0.1015625,-9.77792,-0.9097966,-0.1532289,-0.02450108,0.01384844,0.003195793,927,-668,477
2492.781,0.1054688,-9.792285,-0.8810662,-0.2011129,-0.02556635,0.01171791,0.005326322,899,-650,485
2492.785,0.109375,-9.782708,-0.914585,-0.1819593,-0.02450108,0.01278317,0.005326322,939,-643,535
2492.789,0.1132812,-9.749189,-0.9241618,-0.2011129,-0.02343582,0.0149137,0.005326322,899,-651,477
2492.793,0.1171875,-9.773131,-0.9385271,-0.1963245,-0.02343582,0.0149137,0.004261058,920,-666,552
2492.797,0.1210938,-9.768343,-1.000776,-0.2202666,-0.02237055,0.01384844,0.004261058,906,-634,506
2492.801,0.125,-9.816227,-0.9433155,-0.2011129,-0.02130529,0.01278317,0.005326322,945,-664,519
2492.805,0.1289062,-9.797073,-0.9481039,-0.1771709,-0.02024002,0.01384844,0.004261058,922,-623,515
2492.809,0.1328125,-9.773131,-0.9337386,-0.2442086,-0.01597897,0.01384844,0.004261058,927,-620,489
2492.812,0.1367188,-9.782708,-0.9433155,-0.2154781,-0.01704423,0.01384844,0.004261058,889,-671,513
2492.816,0.140625,-9.787496,-0.9002198,-0.1867477,-0.01704423,0.0149137,0.004261058,902,-642,482
2492.82,0.1445312,-9.787496,-0.9337386,-0.1819593,-0.01278317,0.01384844,0.003195793,922,-630,511
2492.824,0.1484375,-9.749189,-0.9911995,-0.1915361,-0.01171791,0.01171791,0.002130529,930,-617,520
2492.828,0.1523438,-9.797073,-0.9481039,-0.2059013,-0.00958738,0.01171791,0.002130529,937,-655,525
2492.832,0.15625,-9.811438,-0.890643,-0.1580173,-0.007456851,0.01384844,0.002130529,914,-609,511
2492.836,0.1601562,-9.77792,-0.9193734,-0.1532289,-0.006391587,0.01171791,0.001065264,915,-645,475
2492.84,0.1640625,-9.825804,-0.9289502,-0.1867477,-0.003195793,0.00958738,0,880,-638,516
2492.844,0.1679688,-9.80665,-0.9816227,-0.2011129,-0.001065264,0.00958738,0.001065264,913,-637,544
2492.848,0.171875,-9.763554,-0.9337386,-0.1388637,0.001065264,0.006391587,0,909,-611,523
2492.852,0.1757812,-9.816227,-0.9193734,-0.1628057,0,0.00958738,0.001065264,904,-635,508
2492.855,0.1796875,-9.782708,-0.9241618,-0.1675941,0.002130529,0.01065264,0,943,-634,500
2492.859,0.1835938,-9.797073,-0.9241618,-0.1819593,0.002130529,0.00958738,0.002130529,878,-643,517
2492.863,0.1875,-9.744401,-0.8858546,-0.1771709,0.004261058,0.01065264,0.001065264,897,-657,537
2492.867,0.1914062,-9.782708,-0.914585,-0.1580173,0.006391587,0.01065264,0.001065264,894,-653,522
2492.871,0.1953125,-9.811438,-0.9097966,-0.1723825,0.007456851,0.01065264,0.001065264,906,-621,545
