t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2642.492,0.00184375,-9.787496,-0.1628057,-0.3974375,0.008522115,-0.0181095,0.02024002,916,-603,494
2642.496,0.00575,-9.849746,-0.1244985,-0.4165911,0.01597897,-0.01704423,0.02130529,944,-637,491
2642.5,0.00965625,-9.888053,-0.1292869,-0.3591302,0.02237055,-0.0181095,0.02556635,933,-614,529
2642.504,0.0135625,-9.911995,-0.1484405,-0.4022259,0.03195793,-0.0149137,0.02769688,891,-624,493
2642.508,0.01746875,-9.911995,-0.2298434,-0.3495534,0.04048005,-0.01384844,0.03089267,877,-609,528
2642.512,0.021375,-9.907206,-0.2059013,-0.3591302,0.05006743,-0.01917476,0.03621899,923,-643,497
2642.516,0.02528125,-9.964667,-0.2202666,-0.3016694,0.05219796,-0.02343582,0.04048005,921,-665,496
2642.52,0.0291875,-10.00776,-0.2106897,-0.3064578,0.05858954,-0.03195793,0.04474111,903,-635,517
2642.523,0.03309375,-9.959879,-0.2537854,-0.3112462,0.06498113,-0.04367584,0.05113269,928,-639,499
2642.527,0.037,-9.964667,-0.3064578,-0.3351882,0.07456851,-0.05752428,0.05539375,916,-625,536
2642.531,0.04090625,-9.935937,-0.3543418,-0.344765,0.08309063,-0.0660464,0.05965481,908,-656,462
2642.535,0.0448125,-9.83538,-0.3878607,-0.3878607,0.09267801,-0.07350325,0.06498113,933,-647,528
2642.539,0.04871875,-9.830592,-0.4740519,-0.3782839,0.1012001,-0.0809601,0.07030745,921,-618,505
2642.543,0.052625,-9.830592,-0.4596867,-0.4213795,0.1118528,-0.08628642,0.07563377,913,-616,529
2642.547,0.05653125,-9.801862,-0.4692635,-0.3639187,0.1203749,-0.08735168,0.07882957,912,-627,491
2642.551,0.0604375,-9.782708,-0.5363012,-0.3878607,0.1320928,-0.08841695,0.08415589,912,-645,542
2642.555,0.06434375,-9.758766,-0.5075708,-0.4070143,0.1427454,-0.08415589,0.09054748,925,-638,482
2642.559,0.06825,-9.753978,-0.4596867,-0.4740519,0.1587244,-0.09054748,0.0958738,900,-615,514
2642.562,0.07215625,-9.730036,-0.5267244,-0.4453215,0.1736381,-0.08948221,0.1043959,927,-650,533
2642.566,0.0760625,-9.706094,-0.4548983,-0.3639187,0.1874865,-0.09267801,0.1097222,895,-642,502
2642.57,0.07996875,-9.710882,-0.4165911,-0.3878607,0.2066613,-0.08735168,0.1161138,905,-616,500
2642.574,0.083875,-9.720459,-0.3399766,-0.3830723,0.2258361,-0.08522115,0.1246359,928,-652,524
2642.578,0.08778125,-9.730036,-0.296881,-0.4070143,0.2450108,-0.0809601,0.1352886,940,-652,539
2642.582,0.0916875,-9.749189,-0.2585738,-0.320823,0.2631203,-0.0809601,0.1459412,902,-624,520
2642.586,0.09559375,-9.844957,-0.1675941,-0.3351882,0.2897519,-0.0777643,0.1565939,925,-603,524
2642.59,0.0995,-9.849746,-0.1244985,-0.296881,0.3131877,-0.07882957,0.165116,929,-624,496
2642.594,0.1034063,-9.864111,-0.06224924,-0.2537854,0.3398194,-0.07989483,0.1778992,937,-624,525
2642.598,0.1073125,-9.883264,0.06224924,-0.2394202,0.3643204,-0.08202536,0.185356,891,-616,551
2642.602,0.1112188,-9.859322,0.1053449,-0.1867477,0.3994742,-0.08948221,0.201335,921,-614,537
2642.605,0.115125,-9.883264,0.248997,-0.225055,0.4250405,-0.1001349,0.2130529,925,-635,453
2642.609,0.1190313,-9.782708,0.3399766,-0.08140286,0.4516721,-0.1118528,0.2247708,898,-636,548
2642.613,0.1229375,-9.739612,0.4836287,-0.09576807,0.4751079,-0.1225054,0.2407498,931,-625,501
2642.617,0.1268438,-9.706094,0.5889736,-0.01915361,0.5081311,-0.1523328,0.2599245,908,-622,541
2642.621,0.13075,-9.634267,0.6512229,0.02873042,0.5336975,-0.1725728,0.273773,904,-668,510
2642.625,0.1346563,-9.619902,0.7182605,0.05267244,0.556068,-0.1864213,0.294013,906,-668,500
2642.629,0.1385625,-9.552865,0.914585,0.03351882,0.5805691,-0.2034655,0.3121225,912,-575,512
2642.633,0.1424688,-9.433155,1.015142,0.02873042,0.6061355,-0.2194445,0.3408846,917,-641,517
2642.637,0.146375,-9.332598,1.077391,0.05746084,0.628506,-0.2290319,0.3632552,924,-610,496
2642.641,0.1502813,-9.246407,1.192312,0.06224924,0.6498113,-0.2396845,0.3877563,894,-615,516
2642.645,0.1541875,-9.150639,1.312023,0.07182605,0.6711166,-0.2545982,0.4143879,922,-655,546
2642.648,0.1580938,-9.097966,1.431733,0.05746084,0.6988135,-0.2769688,0.4495416,881,-636,527
2642.652,0.162,-9.083601,1.522712,0.03830723,0.7190535,-0.2929477,0.4783037,912,-649,505
2642.656,0.1659063,-9.074024,1.594538,0.09576807,0.7392935,-0.3046656,0.5081311,927,-630,524
2642.66,0.1698125,-9.030929,1.661576,0.05746084,0.753142,-0.3078614,0.5336975,889,-650,524
2642.664,0.1737188,-8.959103,1.776498,-0.01436521,0.7744472,-0.3131877,0.5709817,876,-636,518
2642.668,0.177625,-8.896853,1.771709,-0.06224924,0.7893609,-0.3206446,0.5965481,910,-620,506
2642.672,0.1815313,-8.863335,1.805228,-0.04309563,0.8032094,-0.3366236,0.6253102,890,-651,527
2642.676,0.1854375,-8.791508,1.795651,-0.1149217,0.8149273,-0.3472762,0.648746,949,-622,508
2642.68,0.1893438,-8.63828,1.810016,-0.1436521,0.8213189,-0.3600594,0.6796387,923,-634,480
2642.684,0.19325,-8.566454,1.766921,-0.1723825,0.8181231,-0.3589941,0.6977482,923,-636,488
2642.688,0.1971563,-8.571242,1.776498,-0.2059013,0.809601,-0.3526025,0.7179882,906,-631,497
2642.691,0.2010625,-8.614338,1.699883,-0.225055,0.7946873,-0.3355583,0.737163,908,-676,547
2642.695,0.2049688,-8.580819,1.666364,-0.1388637,0.7659251,-0.3004046,0.7563377,929,-629,514
2642.699,0.208875,-8.676587,1.584961,-0.08619126,0.737163,-0.2673814,0.7691209,906,-624,519
2642.703,0.2127813,-8.781932,1.49877,-0.05746084,0.700944,-0.2386192,0.7797736,887,-620,511
2642.707,0.2166875,-8.973468,1.398214,0,0.6593987,-0.2162487,0.7904262,918,-636,512
2642.711,0.2205938,-9.11712,1.359907,0.1292869,0.5986786,-0.205596,0.7989483,868,-642,501
2642.715,0.2245,-9.251195,1.283292,0.06224924,0.5528722,-0.2024002,0.8074704,904,-651,525
2642.719,0.2284063,-9.414001,1.149217,0.1771709,0.5060006,-0.2130529,0.8085357,913,-675,505
2642.723,0.2323125,-9.586383,1.077391,0.1628057,0.4538026,-0.2258361,0.8085357,923,-651,508
2642.727,0.2362188,-9.619902,1.015142,0.2011129,0.3845605,-0.2428803,0.8074704,898,-618,520
2642.73,0.240125,-9.59596,0.9193734,0.225055,0.3270362,-0.2545982,0.8064052,915,-644,521
2642.734,0.2440313,-9.624691,0.8475474,0.1723825,0.2748382,-0.2663161,0.8053399,895,-640,523
2642.738,0.2479375,-9.615114,0.7469909,0.2059013,0.2247708,-0.2769688,0.8021441,923,-620,502
2642.742,0.2518438,-9.677363,0.7038953,0.2537854,0.1640507,-0.2833603,0.8000136,921,-623,513
2642.746,0.25575,-9.77792,0.5650316,0.2920926,0.1225054,-0.278034,0.8000136,928,-613,480
2642.75,0.2596563,-9.77792,0.5410896,0.2825158,0.08522115,-0.2716424,0.793622,901,-634,506
2642.754,0.2635625,-9.878476,0.4357447,0.3256114,0.04900216,-0.2567287,0.7882957,884,-654,494
2642.758,0.2674688,-10.03649,0.4165911,0.3591302,0.007456851,-0.2407498,0.7797736,908,-642,513
2642.762,0.271375,-10.13226,0.3112462,0.344765,-0.01917476,-0.2343582,0.7680557,927,-632,519
2642.766,0.2752813,-10.27113,0.2633622,0.3064578,-0.0479369,-0.2279666,0.7584683,917,-602,500
2642.77,0.2791875,-10.56322,0.248997,0.4213795,-0.0777643,-0.2173139,0.7510114,896,-647,481
2642.773,0.2830938,-10.81221,0.2059013,0.4548983,-0.1214401,-0.185356,0.7350325,911,-650,516
