t_s,hip_deg,hip_vel_dps,knee_deg,knee_vel_dps,ankle_deg,ankle_vel_dps,foot_strike,mid_swing,toe_off,steady_state
0,-2.85505,2.92259,-7.8044,12.8925,5.18193,-12.369,0,0,0,1
0.00390625,-2.84364,2.87331,-7.75404,13.3867,5.13361,-12.6813,0,0,0,1
0.0078125,-2.83261,2.92446,-7.69982,13.9408,5.08286,-12.9987,0,0,0,1
0.0117188,-2.82079,3.06124,-7.64513,14.4579,5.03207,-13.3989,0,0,0,1
0.015625,-2.80869,2.89272,-7.58688,15.2472,4.97819,-13.9269,0,0,0,1
0.0195312,-2.79819,2.64958,-7.52602,16.0261,4.92327,-14.232,0,0,0,1
0.0234375,-2.78799,2.48157,-7.46168,16.8833,4.86701,-14.5728,0,0,0,1
0.0273438,-2.77881,2.14377,-7.39413,17.7745,4.80943,-14.9926,0,0,0,1
0.03125,-2.77125,1.68686,-7.32283,18.9764,4.74989,-15.8035,0,0,0,1
0.0351562,-2.76563,1.33051,-7.24589,19.8951,4.68597,-16.2857,0,0,0,1
0.0390625,-2.76085,1.03074,-7.16741,20.701,4.62266,-16.5708,0,0,0,1
0.0429688,-2.75758,0.692478,-7.08417,21.6944,4.55652,-17.0294,0,0,0,1
0.046875,-2.75544,0.368827,-6.99793,22.5878,4.48963,-17.2017,0,0,0,1
0.0507812,-2.7547,0.163631,-6.90772,23.3924,4.42214,-17.4639,0,0,0,1
0.0546875,-2.75417,-0.0407832,-6.81519,24.1251,4.3532,-17.7097,0,0,0,1
0.0585938,-2.75502,-0.360008,-6.71925,24.9704,4.28379,-17.9903,0,0,0,1
0.0625,-2.75698,-0.71174,-6.62012,25.8577,4.21266,-18.8311,0,0,0,1
0.0664062,-2.76058,-1.07267,-6.51725,27.0977,4.13669,-20.1001,0,0,0,1
0.0703125,-2.76536,-1.4393,-6.40843,28.3164,4.05564,-20.6886,0,0,0,1
0.0742188,-2.77182,-1.71568,-6.29604,29.3232,3.97507,-22.3615,0,0,0,1
0.078125,-2.77876,-1.98178,-6.17936,30.4989,3.88095,-24.0388,0,0,0,1
0.0820312,-2.7873,-2.405,-6.05778,31.7762,3.78727,-24.1874,0,0,0,1
0.0859375,-2.79755,-2.99374,-5.93112,33.4314,3.692,-25.1715,0,0,0,1
0.0898438,-2.81069,-3.64124,-5.79662,35.0756,3.59063,-26.1511,0,0,0,1
0.09375,-2.82599,-4.14337,-5.65711,36.5341,3.48771,-26.6968,0,0,0,1
0.0976562,-2.84306,-4.72809,-5.51121,38.4246,3.38208,-28.125,0,0,0,1
0.101562,-2.86293,-5.34217,-5.35694,40.1728,3.26799,-29.3122,0,0,0,1
0.105469,-2.88479,-6.14462,-5.19738,41.9752,3.15309,-29.7513,0,0,0,1
0.109375,-2.91093,-7.22347,-5.02903,44.0422,3.03558,-30.4962,0,0,0,1
0.113281,-2.94122,-8.40464,-4.85333,46.2918,2.91486,-31.8716,0,0,0,1
0.117188,-2.97659,-9.92595,-4.6674,48.7909,2.7866,-33.1909,0,0,0,1
0.121094,-3.01876,-11.8497,-4.47217,51.6867,2.65557,-34.3354,0,0,0,1
0.125,-3.06916,-13.8728,-4.26362,54.5657,2.51837,-35.5884,0,0,0,1
0.128906,-3.12714,-15.9273,-4.0459,57.4728,2.37755,-36.5673,0,0,0,1
0.132812,-3.19358,-18.0825,-3.81464,60.7716,2.23271,-37.8565,0,0,0,1
0.136719,-3.2684,-20.6324,-3.57116,64.1655,2.08182,-39.2954,0,0,0,1
0.140625,-3.35476,-23.3302,-3.31338,67.5842,1.92573,-40.5492,0,0,0,1
0.144531,-3.45065,-25.6913,-3.04319,71.0474,1.76505,-41.6886,0,0,0,1
0.148438,-3.55546,-28.2316,-2.75836,75.1045,1.60006,-43.4023,0,0,0,1
0.152344,-3.6712,-31.3847,-2.45647,79.6382,1.42599,-45.4482,0,0,0,1
0.15625,-3.80064,-34.7661,-2.13623,83.9725,1.24502,-47.408,0,0,0,1
0.160156,-3.94279,-38.1849,-1.80048,88.0199,1.05564,-49.1989,0,0,0,1
0.164062,-4.09894,-41.4448,-1.44862,92.3442,0.860676,-50.5302,0,0,0,1
0.167969,-4.26656,-44.8465,-1.07909,96.7858,0.660894,-51.3166,0,0,0,1
0.171875,-4.44928,-48.3793,-0.692525,100.927,0.45979,-52.2081,0,0,0,1
0.175781,-4.64449,-51.9161,-0.290645,104.497,0.253045,-53.2949,0,0,0,1
0.179688,-4.85485,-55.3485,0.123806,107.552,0.0434498,-54.147,0,0,0,1
0.183594,-5.07688,-58.6021,0.549555,110.802,-0.169952,-54.9278,0,0,0,1
0.1875,-5.31265,-61.4948,0.989392,113.685,-0.385646,-55.38,0,0,0,1
0.191406,-5.55727,-63.7568,1.43766,116.028,-0.602581,-56.0974,0,0,0,1
0.195312,-5.81072,-65.7005,1.8958,118.25,-0.823879,-57.2762,0,0,0,1
0.199219,-6.07053,-67.1411,2.36143,119.756,-1.05002,-58.2717,0,0,0,1
0.203125,-6.33522,-68.0825,2.83134,120.567,-1.2791,-58.5521,0,0,0,1
0.207031,-6.60239,-68.7779,3.3033,121.139,-1.50743,-58.1625,0,0,0,1
0.210938,-6.87252,-69.4886,3.77768,121.832,-1.73346,-57.2731,0,0,0,1
0.214844,-7.14523,-70.1729,4.25505,122.966,-1.95485,-56.7138,0,0,0,1
0.21875,-7.42071,-70.93,4.73828,124.208,-2.17651,-56.4643,0,0,0,1
0.222656,-7.69934,-71.7653,5.22537,125.137,-2.39595,-55.826,0,0,0,1
0.226562,-7.98134,-72.5136,5.71585,125.945,-2.61262,-54.9028,0,0,0,1
0.230469,-8.26581,-73.149,6.20925,126.648,-2.82485,-53.6421,0,0,0,1
0.234375,-8.55278,-73.7187,6.70523,127.333,-3.03168,-52.1929,0,0,0,1
0.238281,-8.8417,-74.202,7.20398,127.843,-3.23258,-50.2061,0,0,0,1
0.242188,-9.13244,-74.5046,7.70394,128.31,-3.42389,-47.6834,0,0,0,1
0.246094,-9.42373,-74.6648,8.20634,128.838,-3.60508,-45.6755,0,0,0,1
0.25,-9.71573,-74.6688,8.71042,129.231,-3.7807,-44.2006,0,0,0,1
0.253906,-10.007,-74.2311,9.21589,129.418,-3.95038,-42.8211,0,0,0,1
0.257812,-10.2956,-73.308,9.72143,129.062,-4.11522,-40.7265,0,0,0,1
0.261719,-10.5797,-72.0434,10.2241,128.452,-4.26853,-36.7078,0,0,0,1
0.265625,-10.8584,-70.5977,10.7249,127.785,-4.40198,-33.6949,0,0,0,1
0.269531,-11.1312,-69.1846,11.2224,127.021,-4.53176,-37.9791,0,0,0,1
0.273438,-11.3989,-67.4434,11.7172,126.319,-4.69868,-42.9622,0,0,0,1
0.277344,-11.6581,-64.7488,12.2092,124.933,-4.86738,-38.0299,0,0,0,1
0.28125,-11.9047,-61.6862,12.6932,123.137,-4.99577,-30.8101,0,0,0,1
0.285156,-12.14,-58.7602,13.1711,121.297,-5.10807,-28.4966,0,0,0,1
0.289062,-12.3637,-55.7735,13.6407,119.195,-5.21838,-26.3057,0,0,0,1
0.292969,-12.5757,-52.9755,14.1023,117.103,-5.31357,-22.1309,0,0,0,1
0.296875,-12.7776,-51.3077,14.5556,115.468,-5.39127,-17.3937,0,0,0,1
0.300781,-12.9765,-50.9453,15.0043,115.12,-5.44945,-13.793,0,0,0,1
0.304688,-13.1756,-50.2905,15.4549,114.996,-5.49902,-11.6506,0,0,0,1
0.308594,-13.3694,-47.8915,15.9027,113.466,-5.54046,-9.49525,0,0,0,1
0.3125,-13.5497,-43.9681,16.3413,109.878,-5.5732,-6.35689,0,0,0,1
0.316406,-13.7129,-39.5454,16.761,105.173,-5.59012,-2.69542,0,0,0,1
0.320312,-13.8586,-35.1827,17.1629,100.95,-5.59425,-0.141075,0,0,0,1
0.324219,-13.9877,-31.2189,17.5497,96.899,-5.59122,1.86729,0,0,0,1
0.328125,-14.1025,-28.4634,17.9199,93.7651,-5.57967,3.67141,0,0,0,1
0.332031,-14.2101,-26.8954,18.2822,91.6555,-5.56254,5.42134,0,0,0,1
0.335938,-14.3126,-25.7482,18.6359,89.5205,-5.53731,7.34494,0,0,0,1
0.339844,-14.4112,-25.4375,18.9815,88.2265,-5.50516,8.93702,0,0,0,1
0.34375,-14.5113,-25.4169,19.3251,87.7396,-5.4675,9.91561,0,0,0,1
0.347656,-14.6098,-24.7666,19.6669,86.5176,-5.4277,10.8903,0,0,0,1
0.351562,-14.7048,-23.1142,20.001,83.8632,-5.38242,12.5877,0,0,0,1
0.355469,-14.7903,-19.4405,20.322,79.4823,-5.32937,14.9014,0,0,0,1
0.359375,-14.8567,-14.575,20.6219,73.9635,-5.26601,17.165,0,0,0,1
0.363281,-14.9042,-9.64747,20.8999,68.3993,-5.19527,18.6894,0,0,0,1
0.367188,-14.9321,-4.87078,21.1562,62.763,-5.12001,20.3266,0,0,0,1
0.371094,-14.9423,-0.518362,21.3902,57.8212,-5.03648,22.7263,0,0,0,1
0.375,-14.9361,2.3001,21.6079,54.4043,-4.94247,25.899,0,0,0,1
0.378906,-14.9243,3.39656,21.8152,52.8955,-4.83416,28.4163,0,0,0,1
0.382812,-14.9096,4.00346,22.0211,52.4306,-4.72049,29.4365,0,0,0,1
0.386719,-14.893,4.64373,22.2247,52.11,-4.6042,29.3339,0,0,0,1
0.390625,-14.8733,5.27629,22.4282,51.9105,-4.49133,29.0367,0,0,0,1
0.394531,-14.8518,5.7423,22.6303,51.4866,-4.37737,29.7217,0,0,0,1
0.398438,-14.8284,6.00846,22.8304,50.9148,-4.25914,31.2516,0,0,0,1
0.402344,-14.8049,5.31577,23.028,50.5652,-4.13323,33.7107,0,0,0,1
0.40625,-14.7869,3.60096,23.2254,51.0228,-3.9958,35.8291,0,0,0,1
0.410156,-14.7767,1.37462,23.4266,52.4747,-3.85333,36.31,0,0,0,1
0.414062,-14.7762,-1.32637,23.6354,54.4263,-3.71214,35.9427,0,0,0,1
0.417969,-14.7871,-4.78225,23.8518,56.8688,-3.57255,35.0825,0,0,0,1
0.421875,-14.8135,-8.1915,24.0796,59.1667,-3.43808,33.6948,0,0,0,1
0.425781,-14.8511,-10.7836,24.314,60.3654,-3.30932,32.7682,0,0,0,1
0.429688,-14.8978,-13.1176,24.5512,61.6445,-3.18209,32.4707,0,0,0,1
0.433594,-14.9535,-16.0601,24.7956,63.614,-3.05566,32.7343,0,0,0,1
0.4375,-15.0232,-19.433,25.0482,66.0537,-2.92637,33.2286,0,0,0,1
0.441406,-15.1054,-22.6999,25.3116,68.7131,-2.79608,33.7132,0,0,0,1
0.445312,-15.2006,-26.7974,25.585,72.0939,-2.663,34.3092,0,0,0,1
0.449219,-15.3147,-31.4354,25.8748,76.1148,-2.52806,34.7132,0,0,0,1
0.453125,-15.4461,-36.2782,26.1796,79.7689,-2.39182,35.5616,0,0,0,1
0.457031,-15.5981,-41.0257,26.4979,83.318,-2.25025,36.2295,0,0,0,1
0.460938,-15.7666,-45.1491,26.8304,86.7226,-2.1088,36.3413,0,0,0,1
0.464844,-15.9508,-48.6725,27.1754,89.7139,-1.96635,36.5726,0,0,0,1
0.46875,-16.1469,-51.6289,27.5313,91.8703,-1.82309,37.1621,0,0,0,1
0.472656,-16.3541,-53.8483,27.8931,93.406,-1.67604,37.346,0,0,0,1
0.476562,-16.5675,-55.4707,28.261,95.0272,-1.53135,36.2411,0,0,0,1
0.480469,-16.7875,-57.0352,28.6354,96.3688,-1.39293,34.5792,0,0,0,1
0.484375,-17.0131,-58.6024,29.0138,97.8704,-1.26121,31.3741,0,0,0,1
0.488281,-17.2453,-60.0642,29.4,99.6107,-1.14783,27.5598,0,0,0,1
0.492188,-17.4823,-61.2721,29.792,101.561,-1.04592,24.5131,0,0,0,1
0.496094,-17.7239,-62.1076,30.1934,103.418,-0.956335,21.546,0,0,0,1
0.5,-17.9675,-62.3369,30.5999,104.931,-0.877598,17.2447,0,0,0,1
0.503906,-18.2109,-62.5747,31.0131,106.936,-0.821619,10.7259,0,0,0,1
0.507812,-18.4563,-63.8115,31.4353,109.842,-0.793807,3.44423,0,0,0,1
0.511719,-18.7094,-65.276,31.8712,112.949,-0.794713,-4.94172,0,0,0,1
0.515625,-18.9663,-65.5151,32.3176,115.048,-0.832412,-14.5285,0,0,0,1
0.519531,-19.2212,-64.5514,32.77,116.01,-0.908209,-21.1203,0,0,0,1
0.523438,-19.4705,-62.4273,33.2239,115.315,-0.997404,-23.7042,0,0,0,1
0.527344,-19.7089,-59.3223,33.6708,112.807,-1.09339,-25.4409,0,0,0,1
0.53125,-19.934,-55.6831,34.1051,109.534,-1.19615,-28.3254,0,0,0,1
0.535156,-20.1439,-52.365,34.5265,106.171,-1.31466,-31.6469,0,0,0,1
0.539062,-20.343,-49.9285,34.9345,102.939,-1.44337,-33.1858,0,0,0,1
0.542969,-20.5339,-48.2545,35.3306,100.45,-1.57391,-33.4416,0,0,0,1
0.546875,-20.72,-46.9976,35.7193,98.7221,-1.70462,-34.4524,0,0,0,1
0.550781,-20.9011,-45.6758,36.1019,96.9177,-1.84305,-36.4245,0,0,0,1
0.554688,-21.0768,-44.7506,36.4764,94.9906,-1.98917,-38.3848,0,0,0,1
0.558594,-21.2507,-44.456,36.8439,92.6788,-2.14292,-38.5808,0,0,0,1
0.5625,-21.4241,-44.4078,37.2004,90.4678,-2.29056,-36.6517,0,0,0,1
0.566406,-21.5976,-44.3296,37.5507,88.3981,-2.42924,-34.0468,0,0,0,1
0.570312,-21.7704,-44.6857,37.8909,86.3696,-2.55653,-30.975,0,0,0,1
0.574219,-21.9467,-45.2542,38.2254,83.6679,-2.67122,-27.0655,0,0,0,1
0.578125,-22.1239,-45.4855,38.5446,80.4883,-2.76797,-26.067,0,0,0,1
0.582031,-22.302,-45.6184,38.8542,77.6621,-2.87485,-28.6859,0,0,0,1
0.585938,-22.4803,-45.192,39.1513,73.9357,-2.99206,-30.3076,0,0,0,1
0.589844,-22.655,-44.034,39.4317,68.9779,-3.11162,-29.3661,0,0,0,1
0.59375,-22.8243,-42.584,39.6901,63.9868,-3.22147,-27.2118,0,0,0,1
0.597656,-22.9877,-41.0412,39.9316,59.2538,-3.32419,-24.7679,0,0,0,1
0.601562,-23.1449,-39.1743,40.153,54.1346,-3.41496,-22.1916,0,0,0,1
0.605469,-23.2937,-37.3611,40.3545,49.0698,-3.49755,-20.1788,0,0,0,1
0.609375,-23.4368,-35.8615,40.5363,43.6377,-3.5726,-17.95,0,0,0,1
0.613281,-23.5739,-34.4499,40.6954,38.3241,-3.63778,-16.7291,0,0,0,1
0.617188,-23.7059,-33.1831,40.8357,33.4672,-3.70328,-16.6489,0,0,0,1
0.621094,-23.8331,-32.3125,40.9569,29.0345,-3.76784,-16.4435,0,0,0,1
0.625,-23.9583,-32.0128,41.0625,24.5701,-3.83174,-15.7485,0,0,0,1
0.628906,-24.0832,-32.132,41.1488,20.4688,-3.89087,-15.1088,0,0,0,1
0.632812,-24.2093,-32.235,41.2224,16.677,-3.94977,-14.4314,0,0,0,1
0.636719,-24.335,-32.1914,41.2791,12.7427,-4.00361,-13.619,0,0,0,1
0.640625,-24.4608,-32.3067,41.322,8.38974,-4.05616,-11.9519,0,0,0,1
0.644531,-24.5874,-32.8477,41.3446,4.19837,-4.09697,-9.99827,0,0,0,1
0.648438,-24.7174,-33.953,41.3548,1.0802,-4.13427,-8.30952,0,0,0,1
0.652344,-24.8526,-35.1233,41.3531,-1.85025,-4.16189,-5.78296,0,0,0,1
0.65625,-24.9918,-36.1131,41.3403,-4.94985,-4.17944,-2.8539,0,0,0,1
0.660156,-25.1347,-37.0968,41.3144,-8.62586,-4.18418,0.967342,0,0,0,1
0.664062,-25.2816,-38.2194,41.2729,-12.1589,-4.17189,4.7226,0,0,0,1
0.667969,-25.4333,-39.085,41.2194,-15.3139,-4.14729,8.11772,0,0,0,1
0.671875,-25.5869,-39.2704,41.1533,-19.0018,-4.10847,12.0496,0,0,0,1
0.675781,-25.7401,-38.9586,41.071,-23.6007,-4.05316,16.9795,0,0,0,1
0.679688,-25.8913,-38.4275,40.9689,-28.2889,-3.97583,22.0911,0,0,0,1
0.683594,-26.0403,-37.9772,40.85,-32.0214,-3.88058,25.963,0,0,0,1
0.6875,-26.188,-37.4969,40.7188,-35.7898,-3.773,29.4119,0,0,0,1
0.691406,-26.3332,-37.0076,40.5704,-39.9287,-3.65082,33.3556,0,0,0,1
0.695312,-26.4771,-36.5512,40.4069,-43.8177,-3.51243,37.6167,0,0,0,1
0.699219,-26.6188,-36.2638,40.2281,-47.3107,-3.35696,41.7982,0,0,0,1
0.703125,-26.7604,-36.0941,40.0373,-50.3924,-3.1859,45.3842,0,0,0,1
0.707031,-26.9007,-35.6197,39.8344,-53.6763,-3.00241,47.7998,0,0,0,1
0.710938,-27.0386,-34.9135,39.618,-57.72,-2.81249,49.4963,0,0,0,1
0.714844,-27.1735,-34.1891,39.3835,-61.7469,-2.61575,50.752,0,0,0,1
0.71875,-27.3057,-33.938,39.1356,-64.4608,-2.41602,50.2484,0,0,0,1
0.722656,-27.4386,-34.0416,38.8799,-66.6024,-2.22321,47.4465,0,0,0,1
0.726562,-27.5716,-34.0913,38.6153,-69.0153,-2.04536,43.976,0,0,0,1
0.730469,-27.7049,-34.0309,38.3408,-71.8433,-1.87967,41.1604,0,0,0,1
0.734375,-27.8375,-33.6762,38.0541,-74.6083,-1.72382,37.9979,0,0,0,1
0.738281,-27.968,-33.0614,37.7579,-77.0128,-1.58283,33.9802,0,0,0,1
0.742188,-28.0958,-32.581,37.4524,-79.3618,-1.45837,29.4228,0,0,0,1
0.746094,-28.2225,-32.3761,37.138,-81.9103,-1.35298,26.0622,0,0,0,1
0.75,-28.3487,-32.3098,36.8125,-84.5359,-1.25477,24.2301,0,0,0,1
0.753906,-28.4749,-32.1994,36.4776,-86.6101,-1.16369,22.6266,0,0,0,1
0.757812,-28.6002,-31.4509,36.1359,-89.4268,-1.07801,22.2004,0,0,0,1
0.761719,-28.7206,-30.2538,35.779,-93.0936,-0.990262,23.0878,0,0,0,1
0.765625,-28.8366,-29.1378,35.4087,-96.3862,-0.897646,24.4473,0,0,0,1
0.769531,-28.9482,-28.2142,35.026,-99.2271,-0.79928,25.8874,0,0,0,1
0.773438,-29.057,-27.3452,34.6335,-101.963,-0.695414,27.4159,0,0,0,1
0.777344,-29.1619,-26.6142,34.2295,-104.861,-0.585107,28.9996,0,0,0,1
