t_s,hip_deg,knee_deg,ankle_deg
0,-7.66438,-3.75729,-6.62618
0.003906,-7.67743,-3.79998,-6.67383
0.007812,-7.69133,-3.84324,-6.72221
0.011718,-7.70643,-3.88552,-6.76996
0.015624,-7.72302,-3.9283,-6.81934
0.01953,-7.74017,-3.9708,-6.86896
0.023436,-7.75727,-4.01423,-6.91864
0.027342,-7.77446,-4.05847,-6.96865
0.031248,-7.79164,-4.10321,-7.01967
0.035154,-7.80874,-4.14996,-7.07326
0.03906,-7.82612,-4.19566,-7.12548
0.042966,-7.84395,-4.24202,-7.17868
0.046872,-7.86216,-4.28815,-7.23142
0.050778,-7.88092,-4.33463,-7.2832
0.054684,-7.90047,-4.3807,-7.3351
0.05859,-7.92087,-4.42649,-7.38592
0.062496,-7.9419,-4.47203,-7.43728
0.066402,-7.96381,-4.51722,-7.49242
0.070308,-7.98704,-4.56345,-7.55088
0.074214,-8.01139,-4.60948,-7.60801
0.07812,-8.03731,-4.65535,-7.67685
0.082026,-8.06522,-4.70073,-7.74279
0.085932,-8.09482,-4.74566,-7.80829
0.089838,-8.12563,-4.79228,-7.87781
0.093744,-8.15791,-4.83825,-7.94752
0.09765,-8.19237,-4.88383,-8.01722
0.101556,-8.22891,-4.93006,-8.09239
0.105462,-8.2674,-4.97542,-8.16634
0.109368,-8.30795,-5.01997,-8.2407
0.113274,-8.35,-5.06363,-8.31612
0.11718,-8.39258,-5.10871,-8.39576
0.121086,-8.43446,-5.15448,-8.47578
0.124992,-8.47548,-5.202,-8.55864
0.128898,-8.51585,-5.2496,-8.64232
0.132804,-8.55472,-5.29964,-8.7263
0.13671,-8.59197,-5.35183,-8.81318
0.140616,-8.62701,-5.40585,-8.90195
0.144522,-8.65962,-5.46195,-8.99165
0.148428,-8.69052,-5.52119,-9.08193
0.152334,-8.71934,-5.58522,-9.17735
0.15624,-8.74524,-5.6534,-9.27627
0.160146,-8.76768,-5.72496,-9.37945
0.164052,-8.78568,-5.80003,-9.48327
0.167958,-8.79925,-5.8813,-9.58687
0.171864,-8.80842,-5.9664,-9.68839
0.17577,-8.81302,-6.05552,-9.79152
0.179676,-8.81243,-6.14518,-9.89479
0.183582,-8.80713,-6.23496,-9.99779
0.187488,-8.79748,-6.32588,-10.0989
0.191394,-8.78343,-6.41738,-10.197
0.1953,-8.76533,-6.5097,-10.2946
0.199206,-8.7434,-6.60209,-10.3926
0.203112,-8.71742,-6.69316,-10.4883
0.207018,-8.68768,-6.78269,-10.5785
0.210924,-8.65424,-6.87149,-10.6616
0.21483,-8.61625,-6.96122,-10.7357
0.218736,-8.57243,-7.05601,-10.806
0.222642,-8.52278,-7.15449,-10.8709
0.226548,-8.46804,-7.25517,-10.9298
0.230454,-8.40798,-7.3578,-10.9811
0.23436,-8.34158,-7.46332,-11.024
0.238266,-8.26894,-7.57207,-11.0577
0.242172,-8.19155,-7.68151,-11.0791
0.246078,-8.1106,-7.79229,-11.088
0.249984,-8.02588,-7.9046,-11.0898
0.25389,-7.93848,-8.01796,-11.084
0.257796,-7.85106,-8.13065,-11.0722
0.261702,-7.76525,-8.24012,-11.0519
0.265608,-7.68166,-8.34765,-11.0115
0.269514,-7.60159,-8.45167,-10.9622
0.27342,-7.52579,-8.551,-10.9439
0.277326,-7.45516,-8.64577,-10.9301
0.281232,-7.39105,-8.73557,-10.8778
0.285138,-7.33275,-8.82134,-10.8069
0.289044,-7.28005,-8.90291,-10.7331
0.29295,-7.23366,-8.97892,-10.6464
0.296856,-7.19309,-9.04821,-10.5443
0.300762,-7.15709,-9.10852,-10.4239
0.304668,-7.12455,-9.16219,-10.2942
0.308574,-7.09702,-9.20764,-10.1575
0.31248,-7.07961,-9.2422,-10.0122
0.316386,-7.07621,-9.25737,-9.85232
0.320292,-7.08834,-9.25118,-9.67992
0.324198,-7.11531,-9.22637,-9.50138
0.328104,-7.15214,-9.18627,-9.31715
0.33201,-7.19237,-9.13773,-9.12972
0.335916,-7.2323,-9.08293,-8.93747
0.339822,-7.27085,-9.02194,-8.74158
0.343728,-7.30783,-8.95624,-8.54366
0.347634,-7.34672,-8.88502,-8.34646
0.35154,-7.39263,-8.80108,-8.14743
0.355446,-7.44903,-8.70061,-7.9437
0.359352,-7.52114,-8.58009,-7.73288
0.363258,-7.60879,-8.44031,-7.51871
0.367164,-7.70725,-8.28654,-7.30468
0.37107,-7.81227,-8.12159,-7.08861
0.374976,-7.91724,-7.9557,-6.86605
0.378882,-8.01525,-7.79324,-6.63508
0.382788,-8.10301,-7.6413,-6.40331
0.386694,-8.18058,-7.49938,-6.17561
0.3906,-8.24937,-7.3683,-5.95791
0.394506,-8.31246,-7.24326,-5.74499
0.398412,-8.37238,-7.12035,-5.53216
0.402318,-8.42952,-6.99677,-5.31578
0.406224,-8.48114,-6.87274,-5.09216
0.41013,-8.52442,-6.75114,-4.86894
0.414036,-8.55801,-6.63559,-4.65225
0.417942,-8.58051,-6.52607,-4.44222
0.421848,-8.58982,-6.42435,-4.24071
0.425754,-8.5868,-6.32881,-4.04825
0.42966,-8.5748,-6.23494,-3.86041
0.433566,-8.55583,-6.14393,-3.67591
0.437472,-8.53079,-6.05368,-3.49267
0.441378,-8.50114,-5.96378,-3.31143
0.445284,-8.46914,-5.87224,-3.13079
0.44919,-8.43679,-5.777,-2.95074
0.453096,-8.40528,-5.67693,-2.77163
0.457002,-8.37363,-5.57008,-2.5906
0.460908,-8.34249,-5.45733,-2.41333
0.464814,-8.31501,-5.337,-2.23925
0.46872,-8.29059,-5.21139,-2.06771
0.472626,-8.26654,-5.08079,-1.89608
0.476532,-8.2433,-4.94729,-1.73015
0.480438,-8.22318,-4.81013,-1.57443
0.484344,-8.20733,-4.66667,-1.42966
0.48825,-8.19588,-4.51929,-1.30504
0.492156,-8.18952,-4.36739,-1.19474
0.496062,-8.18901,-4.21347,-1.09832
0.499968,-8.19347,-4.05752,-1.01473
0.503874,-8.20221,-3.90295,-0.953097
0.50778,-8.21408,-3.75177,-0.920556
0.511686,-8.22539,-3.60684,-0.916439
0.515592,-8.23432,-3.47051,-0.946062
0.519498,-8.24322,-3.34042,-1.01233
0.523404,-8.25475,-3.21458,-1.09092
0.52731,-8.27055,-3.08849,-1.1743
0.531216,-8.29336,-2.9561,-1.26264
0.535122,-8.3257,-2.81449,-1.36436
0.539028,-8.36747,-2.66192,-1.47424
0.542934,-8.41675,-2.49869,-1.58462
0.54684,-8.47177,-2.32686,-1.69378
0.550746,-8.53164,-2.14861,-1.80749
0.554652,-8.59691,-1.96187,-1.92351
0.558558,-8.66657,-1.76634,-2.04162
0.562464,-8.73902,-1.55813,-2.15194
0.56637,-8.81407,-1.34032,-2.25199
0.570276,-8.89248,-1.11046,-2.33923
0.574182,-8.9737,-0.868927,-2.41102
0.578088,-9.05663,-0.611368,-2.46195
0.581994,-9.14178,-0.340987,-2.51745
0.5859,-9.22904,-0.0577812,-2.58218
0.589806,-9.32004,0.240341,-2.64708
0.593712,-9.417,0.558267,-2.69963
0.597618,-9.52007,0.891646,-2.74147
0.601524,-9.62904,1.2416,-2.77206
0.60543,-9.74405,1.60666,-2.79408
0.609336,-9.86396,1.98676,-2.80806
0.613242,-9.98735,2.38326,-2.8106
0.617148,-10.1137,2.79308,-2.80923
0.621054,-10.2427,3.21547,-2.80481
0.62496,-10.3733,3.64879,-2.79869
0.628866,-10.504,4.09519,-2.7884
0.632772,-10.633,4.54975,-2.77683
0.636678,-10.7595,5.01267,-2.75978
0.640584,-10.8834,5.48145,-2.74017
0.64449,-11.0045,5.96132,-2.71011
0.648396,-11.122,6.44732,-2.67512
0.652302,-11.2337,6.93721,-2.63113
0.656208,-11.3393,7.42893,-2.57753
0.660114,-11.4394,7.92424,-2.51283
0.66402,-11.5339,8.42476,-2.43407
0.667926,-11.6215,8.92662,-2.34498
0.671832,-11.7027,9.42861,-2.24431
0.675738,-11.7801,9.93333,-2.13038
0.679644,-11.8554,10.4435,-1.99891
0.68355,-11.93,10.9584,-1.85409
0.687456,-12.0049,11.4756,-1.70139
0.691362,-12.0816,11.9984,-1.53954
0.695268,-12.1604,12.5265,-1.36591
0.699174,-12.2427,13.0611,-1.18042
0.70308,-12.3284,13.6007,-0.985583
0.706986,-12.4169,14.1431,-0.784944
0.710892,-12.5085,14.6887,-0.58479
0.714798,-12.6035,15.2405,-0.384976
0.718704,-12.7019,15.7957,-0.188363
0.72261,-12.803,16.3506,-0.00425283
0.726516,-12.9066,16.9058,0.158524
0.730422,-13.0145,17.4635,0.304018
0.734328,-13.1275,18.0269,0.434357
0.738234,-13.2467,18.5941,0.547013
0.74214,-13.3733,19.1651,0.641025
0.746046,-13.5085,19.742,0.714605
0.749952,-13.6513,20.3269,0.78054
0.753858,-13.7997,20.9177,0.839648
0.757764,-13.9526,21.5102,0.894859
0.76167,-14.1111,22.1082,0.952445
0.765576,-14.2751,22.7121,1.01693
0.769482,-14.4431,23.3188,1.088
0.773388,-14.6141,23.9254,1.16532
0.777294,-14.7872,24.5314,1.24872
0.7812,-14.962,25.1372,1.33752
0.785106,-15.1377,25.739,1.42798
0.789012,-15.3137,26.3348,1.52004
0.792918,-15.4899,26.9252,1.6146
0.796824,-15.6647,27.5058,1.71166
0.80073,-15.8366,28.0765,1.81339
0.804636,-16.0039,28.6336,1.92043
0.808542,-16.1639,29.1744,2.03113
0.812448,-16.3157,29.6974,2.14326
0.816354,-16.4604,30.2031,2.25599
0.82026,-16.5986,30.6929,2.36686
0.824166,-16.7309,31.1673,2.47766
0.828072,-16.8591,31.6277,2.58831
0.831978,-16.9847,32.077,2.69769
0.835884,-17.1092,32.5163,2.79851
0.83979,-17.2345,32.9469,2.87989
0.843696,-17.3612,33.3706,2.94404
0.847602,-17.4891,33.7864,2.9886
0.851508,-17.6202,34.1975,3.01462
0.855414,-17.7573,34.606,3.01261
0.85932,-17.9011,35.0125,2.98789
0.863226,-18.051,35.4174,2.94181
0.867132,-18.2087,35.8217,2.8814
0.871038,-18.3733,36.2232,2.80919
0.874944,-18.5416,36.6188,2.73084
0.87885,-18.7118,37.0074,2.65131
0.882756,-18.8839,37.3866,2.57377
0.886662,-19.058,37.7549,2.50264
0.890568,-19.233,38.1132,2.44608
0.894474,-19.4084,38.4614,2.39926
0.89838,-19.5823,38.7951,2.35806
0.902286,-19.7534,39.1153,2.3242
0.906192,-19.9217,39.4209,2.29852
0.910098,-20.087,39.7111,2.27745
0.914004,-20.2505,39.9866,2.26196
0.91791,-20.4141,40.2458,2.24757
0.921816,-20.5796,40.4898,2.23616
0.925722,-20.7497,40.7219,2.22722
0.929628,-20.9271,40.9444,2.22116
0.933534,-21.111,41.1535,2.21033
0.93744,-21.2985,41.3465,2.19591
0.941346,-21.488,41.5196,2.18121
0.945252,-21.6774,41.6727,2.1666
0.949158,-21.8677,41.8039,2.146
0.953064,-22.0616,41.9153,2.11935
0.95697,-22.2603,42.0072,2.08509
0.960876,-22.4635,42.0828,2.05157
0.964782,-22.6689,42.1371,2.01588
0.968688,-22.8764,42.1672,1.97858
0.972594,-23.0875,42.1771,1.93714
0.9765,-23.3039,42.17,1.89511
0.980406,-23.5259,42.1445,1.85054
0.984312,-23.7538,42.1031,1.81262
0.988218,-23.9894,42.0409,1.76764
0.992124,-24.2348,41.9673,1.72273
0.99603,-24.4889,41.8811,1.67932
0.999936,-24.7465,41.7792,1.6461
1.00384,-25.0042,41.6542,1.61017
1.00775,-25.2582,41.5076,1.57296
1.01165,-25.5052,41.3377,1.53347
1.01556,-25.7432,41.1437,1.49609
1.01947,-25.9711,40.9229,1.45318
1.02337,-26.1877,40.6687,1.40248
1.02728,-26.3934,40.3841,1.34575
1.03118,-26.5913,40.073,1.28492
1.03509,-26.7855,39.7374,1.22265
1.039,-26.981,39.3757,1.14641
1.0429,-27.1841,38.9919,1.0597
1.04681,-27.3994,38.5923,0.970303
1.05071,-27.6274,38.1726,0.896112
1.05462,-27.867,37.7307,0.869346
1.05853,-28.1191,37.2712,0.87389
1.06243,-28.384,36.8029,0.89319
1.06634,-28.66,36.3298,0.829884
1.07024,-28.9455,35.8541,0.740684
1.07415,-29.2355,35.3662,0.687679
1.07806,-29.5236,34.8668,0.673204
1.08196,-29.804,34.3673,0.767648
1.08587,-30.0767,33.8804,1.00788
1.08977,-30.3364,33.4312,1.4112
1.09368,-30.5607,33.0095,1.91272
1.09759,-30.7164,32.5828,2.33904
1.10149,-30.7755,32.0985,2.54237
1.1054,-30.7569,31.542,2.59181
1.1093,-30.7103,30.9603,2.60521
1.11321,-30.6686,30.3941,2.59796
1.11712,-30.6427,29.8571,2.51586
1.12102,-30.6081,29.3184,2.349
1.12493,-30.528,28.7203,2.11563
1.12883,-30.3812,28.0408,1.86587
1.13274,-30.1408,27.2576,1.60232
1.13665,-29.8153,26.3865,1.3226
1.14055,-29.4463,25.4738,1.04823
1.14446,-29.0624,24.567,0.838445
1.14836,-28.6884,23.702,0.697956
1.15227,-28.3444,22.9053,0.610722
1.15618,-28.0441,22.1926,0.552847
1.16008,-27.7925,21.5613,0.515977
1.16399,-27.5928,21.0069,0.493958
1.16789,-27.4487,20.5261,0.484857
1.1718,-27.3709,20.1229,0.484499
1.17571,-27.3897,19.827,0.483088
1.17961,-27.5262,19.6569,0.472279
1.18352,-27.7748,19.6033,0.455148
1.18742,-28.1176,19.6457,0.426308
1.19133,-28.533,19.7634,0.389822
1.19524,-28.9839,19.9215,0.339629
1.19914,-29.436,20.0827,0.273203
1.20305,-29.8749,20.2324,0.193995
1.20695,-30.2839,20.3522,0.102359
1.21086,-30.652,20.4338,0.0169951
1.21477,-30.979,20.4716,-0.0709278
1.21867,-31.2665,20.4693,-0.170495
1.22258,-31.5166,20.4272,-0.325052
1.22648,-31.7357,20.3564,-0.542957
1.23039,-31.9293,20.2622,-0.771938
1.2343,-32.0958,20.1467,-0.999044
1.2382,-32.2292,20.0069,-1.22907
1.24211,-32.3301,19.8489,-1.45871
1.24601,-32.4055,19.6815,-1.68553
1.24992,-32.4611,19.5158,-1.90526
1.25383,-32.5037,19.3612,-2.12667
1.25773,-32.5381,19.228,-2.35065
1.26164,-32.5668,19.1187,-2.56383
1.26554,-32.5899,19.0267,-2.76761
1.26945,-32.6082,18.9545,-2.95985
1.27336,-32.6223,18.8972,-3.14381
1.27726,-32.6324,18.8533,-3.31828
1.28117,-32.6378,18.815,-3.48992
1.28507,-32.636,18.7844,-3.65732
1.28898,-32.6259,18.7572,-3.82117
1.29289,-32.6087,18.7355,-3.97644
1.29679,-32.5836,18.7156,-4.12469
1.3007,-32.5495,18.6938,-4.26781
1.3046,-32.5085,18.6701,-4.4073
1.30851,-32.4643,18.6447,-4.54479
1.31242,-32.4176,18.6183,-4.67587
1.31632,-32.3674,18.5885,-4.80289
1.32023,-32.3145,18.5572,-4.92702
1.32413,-32.2607,18.5258,-5.04841
1.32804,-32.2083,18.4969,-5.16359
1.33195,-32.1598,18.4684,-5.27601
1.33585,-32.1181,18.4429,-5.385
1.33976,-32.0848,18.4204,-5.49438
1.34366,-32.0603,18.4042,-5.6027
1.34757,-32.0471,18.3977,-5.70877
1.35148,-32.0452,18.4011,-5.81165
1.35538,-32.0507,18.4119,-5.90923
1.35929,-32.0605,18.4286,-6.00589
1.36319,-32.0757,18.4537,-6.10055
1.3671,-32.096,18.4843,-6.19289
1.37101,-32.1176,18.5197,-6.27405
1.37491,-32.1369,18.5536,-6.35174
1.37882,-32.1517,18.5887,-6.42462
1.38272,-32.1602,18.6222,-6.49154
1.38663,-32.1602,18.6548,-6.54993
1.39054,-32.1503,18.6833,-6.60326
1.39444,-32.129,18.707,-6.65014
1.39835,-32.097,18.7276,-6.6892
1.40225,-32.0557,18.7419,-6.723
1.40616,-32.0051,18.7517,-6.75377
1.41007,-31.9446,18.7525,-6.78435
1.41397,-31.8753,18.7485,-6.8067
1.41788,-31.8002,18.7387,-6.82528
1.42178,-31.72,18.7239,-6.84334
1.42569,-31.6346,18.7008,-6.86395
1.4296,-31.5457,18.6701,-6.88715
1.4335,-31.4539,18.634,-6.91073
1.43741,-31.359,18.5907,-6.93376
1.44131,-31.2605,18.5402,-6.952
1.44522,-31.159,18.4832,-6.96462
1.44913,-31.0559,18.4216,-6.97167
1.45303,-30.9516,18.354,-6.97818
1.45694,-30.8438,18.2811,-6.98425
1.46084,-30.7318,18.2007,-6.9882
1.46475,-30.6158,18.1142,-6.98872
1.46866,-30.4958,18.0208,-6.98941
1.47256,-30.3724,17.9222,-6.98883
1.47647,-30.2472,17.8191,-6.98444
1.48037,-30.1219,17.7137,-6.97605
