t_s,ankle_deg,ankle_vel_dps,ankle_acc_dps2,knee_deg,knee_vel_dps,knee_acc_dps2,hip_deg,hip_vel_dps,hip_acc_dps2,foot_strike,mid_swing,toe_off,steady_state
0,-6.62618,-12.201,-23.6796,-3.75729,-10.9308,-18.5559,-7.66438,-3.3408,-27.8491,0,0,0,1
0.003906,-6.67383,-12.2935,-13.2939,-3.79998,-11.0033,-2.3619,-7.67743,-3.44958,-47.5165,0,0,0,1
0.007812,-6.72221,-12.3049,-17.8629,-3.84324,-10.9493,14.7732,-7.69133,-3.712,-77.7203,0,0,0,1
0.011718,-6.76996,-12.4331,-47.1141,-3.88552,-10.8879,4.20353,-7.70643,-4.05673,-77.7741,0,0,0,1
0.015624,-6.81934,-12.6729,-35.6482,-3.9283,-10.9164,-14.3438,-7.72302,-4.31957,-41.9757,0,0,0,1
0.01953,-6.86896,-12.7115,-11.3222,-3.9708,-10.9999,-39.2077,-7.74017,-4.38464,-8.86744,0,0,0,1
0.023436,-6.91864,-12.7614,-28.3137,-4.01423,-11.2227,-50.0064,-7.75727,-4.38884,-1.89214,0,0,0,1
0.027342,-6.96865,-12.9327,-80.4762,-4.05847,-11.3906,-62.651,-7.77446,-4.39943,0.0737773,0,0,0,1
0.031248,-7.01967,-13.3901,-78.188,-4.10321,-11.7121,-56.8034,-7.79164,-4.38827,-1.7798,0,0,0,1
0.035154,-7.07326,-13.5435,-13.4474,-4.14996,-11.8343,-9.12768,-7.80874,-4.41333,-15.2343,0,0,0,1
0.03906,-7.12548,-13.4951,-2.28605,-4.19566,-11.7834,-0.529492,-7.82612,-4.50728,-25.716,0,0,0,1
0.042966,-7.17868,-13.5614,14.8473,-4.24202,-11.8385,-9.27405,-7.84395,-4.61422,-28.7822,0,0,0,1
0.046872,-7.23142,-13.3791,36.944,-4.28815,-11.8559,-1.12089,-7.86216,-4.73212,-37.0268,0,0,0,1
0.050778,-7.2832,-13.2728,29.3863,-4.33463,-11.8472,12.5377,-7.88092,-4.90348,-48.9751,0,0,0,1
0.054684,-7.3351,-13.1496,24.7972,-4.3807,-11.7579,19.9146,-7.90047,-5.11472,-51.2552,0,0,0,1
0.05859,-7.38592,-13.0791,-61.8083,-4.42649,-11.6916,18.2931,-7.92087,-5.30388,-48.7977,0,0,0,1
0.062496,-7.43728,-13.6324,-187.338,-4.47203,-11.615,-1.30461,-7.9419,-5.49593,-60.7394,0,0,0,1
0.066402,-7.49242,-14.5426,-149.088,-4.51722,-11.7018,-24.9765,-7.96381,-5.77838,-76.2479,0,0,0,1
0.070308,-7.55088,-14.7971,-202.544,-4.56345,-11.8102,-7.99731,-7.98704,-6.09157,-83.9413,0,0,0,1
0.074214,-7.60801,-16.1248,-314.312,-4.60948,-11.7643,16.62,-8.01139,-6.43413,-102.206,0,0,0,1
0.07812,-7.67685,-17.2525,-89.6415,-4.65535,-11.6803,26.0856,-8.03731,-6.89001,-118.834,0,0,0,1
0.082026,-7.74279,-16.8251,-4.02306,-4.70073,-11.5605,-4.89004,-8.06522,-7.36246,-107.951,0,0,0,1
0.085932,-7.80829,-17.2839,-127.678,-4.74566,-11.7185,-37.3328,-8.09482,-7.73332,-91.3115,0,0,0,1
0.089838,-7.87781,-17.8225,-71.8549,-4.79228,-11.8522,-0.13511,-8.12563,-8.07579,-103.621,0,0,0,1
0.093744,-7.94752,-17.8452,-92.5059,-4.83825,-11.7196,12.8086,-8.15791,-8.54281,-129.596,0,0,0,1
0.09765,-8.01722,-18.5452,-159.143,-4.88383,-11.7521,-0.527597,-8.19237,-9.08819,-135.967,0,0,0,1
0.101556,-8.09239,-19.0885,-56.2609,-4.93006,-11.7237,31.103,-8.22891,-9.60498,-131.781,0,0,0,1
0.105462,-8.16634,-18.9847,-10.836,-4.97542,-11.5091,55.1605,-8.2674,-10.1177,-123.93,0,0,0,1
0.109368,-8.2407,-19.1731,-110.621,-5.01997,-11.2928,19.0343,-8.30795,-10.5731,-91.5765,0,0,0,1
0.113274,-8.31612,-19.8489,-161.904,-5.06363,-11.3604,-43.0569,-8.35,-10.8331,-30.5545,0,0,0,1
0.11718,-8.39576,-20.4379,-128.176,-5.10871,-11.6291,-74.3225,-8.39258,-10.8118,28.2393,0,0,0,1
0.121086,-8.47578,-20.8502,-112.754,-5.15448,-11.941,-70.0366,-8.43446,-10.6125,50.3588,0,0,0,1
0.124992,-8.55864,-21.3187,-78.1658,-5.202,-12.1763,-71.4134,-8.47548,-10.4184,60.0052,0,0,0,1
0.128898,-8.64232,-21.4608,-70.7775,-5.2496,-12.4989,-116.463,-8.51585,-10.1437,86.3298,0,0,0,1
0.132804,-8.7263,-21.8717,-131.088,-5.29964,-13.0861,-140.338,-8.55472,-9.744,113.904,0,0,0,1
0.13671,-8.81318,-22.4849,-124.706,-5.35183,-13.5953,-129.354,-8.59197,-9.25388,138.805,0,0,0,1
0.140616,-8.90195,-22.8459,-70.9565,-5.40585,-14.0966,-149.76,-8.62701,-8.65966,143.932,0,0,0,1
0.144522,-8.99165,-23.0392,-118.368,-5.46195,-14.7652,-215.372,-8.65962,-8.12948,129.954,0,0,0,1
0.148428,-9.08193,-23.7706,-235.21,-5.52119,-15.7791,-276.251,-8.69052,-7.64446,144.061,0,0,0,1
0.152334,-9.17735,-24.8766,-268.817,-5.58522,-16.9233,-269.944,-8.71934,-7.00407,186.385,0,0,0,1
0.15624,-9.27627,-25.8706,-207.628,-5.6534,-17.8879,-236.468,-8.74524,-6.18842,233.913,0,0,0,1
0.160146,-9.37945,-26.4986,-87.1853,-5.72496,-18.7705,-272.063,-8.76768,-5.17674,274.883,0,0,0,1
0.164052,-9.48327,-26.5516,30.9686,-5.80003,-20.0132,-323.403,-8.78568,-4.04103,289.963,0,0,0,1
0.167958,-9.58687,-26.2567,45.4989,-5.8813,-21.297,-292.903,-8.79925,-2.91155,291.663,0,0,0,1
0.171864,-9.68839,-26.1962,-20.9961,-5.9664,-22.3014,-203.246,-8.80842,-1.76256,307.096,0,0,0,1
0.17577,-9.79152,-26.4207,-26.7174,-6.05552,-22.8847,-85.4555,-8.81302,-0.512517,322.211,0,0,0,1
0.179676,-9.89479,-26.4049,36.8804,-6.14518,-22.969,-31.5045,-8.81243,0.754548,310.459,0,0,0,1
0.183582,-9.99779,-26.1326,115.358,-6.23496,-23.1308,-49.0038,-8.80713,1.91279,291.709,0,0,0,1
0.187488,-10.0989,-25.5037,138.386,-6.32588,-23.3518,-51.267,-8.79748,3.03338,282.062,0,0,0,1
0.191394,-10.197,-25.0515,60.7192,-6.41738,-23.5313,-37.4543,-8.78343,4.11626,267.595,0,0,0,1
0.1953,-10.2946,-25.0294,33.2169,-6.5097,-23.6444,6.09524,-8.76533,5.12384,258.082,0,0,0,1
0.199206,-10.3926,-24.7921,156.841,-6.60209,-23.4837,67.4218,-8.7434,6.1324,257.181,0,0,0,1
0.203112,-10.4883,-23.8042,333.745,-6.69316,-23.1177,83.9737,-8.71742,7.13293,250.359,0,0,0,1
0.207018,-10.5785,-22.1848,470.962,-6.78269,-22.8277,33.8162,-8.68768,8.08821,257.411,0,0,0,1
0.210924,-10.6616,-20.125,474.053,-6.87149,-22.8535,-101.45,-8.65424,9.14382,305.126,0,0,0,1
0.21483,-10.7357,-18.4815,360.91,-6.96122,-23.6202,-241.611,-8.61625,10.4718,361.077,0,0,0,1
0.218736,-10.806,-17.3056,337.977,-7.05601,-24.741,-239.908,-8.57243,11.9646,370.024,0,0,0,1
0.222642,-10.8709,-15.8413,409.436,-7.15449,-25.4944,-164.413,-8.52278,13.3625,349.615,0,0,0,1
0.226548,-10.9298,-14.1071,483.093,-7.25517,-26.0254,-147.278,-8.46804,14.6958,361.693,0,0,0,1
0.230454,-10.9811,-12.0673,550.849,-7.3578,-26.6449,-179.457,-8.40798,16.188,397.131,0,0,0,1
0.23436,-11.024,-9.80384,641.639,-7.46332,-27.4273,-164.479,-8.34158,17.7981,386.199,0,0,0,1
0.238266,-11.0577,-7.05484,758.16,-7.57207,-27.9299,-97.7481,-8.26894,19.205,316.268,0,0,0,1
0.242172,-11.0791,-3.88109,728.565,-7.68151,-28.1909,-80.38,-8.19155,20.2688,256.332,0,0,0,1
0.246078,-11.088,-1.3633,562.686,-7.79229,-28.5578,-89.1764,-8.1106,21.2075,225.804,0,0,0,1
0.249984,-11.0898,0.514609,462.259,-7.9046,-28.8876,-48.3605,-8.02588,22.0328,149.843,0,0,0,1
0.25389,-11.084,2.24787,460.595,-8.01796,-28.9356,57.5138,-7.93848,22.378,18.209,0,0,0,1
0.257796,-11.0722,4.11278,707.897,-8.13065,-28.4383,148.186,-7.85106,22.1751,-88.6937,0,0,0,1
0.261702,-11.0519,7.77796,942.58,-8.24012,-27.778,173.899,-7.76525,21.6852,-156.899,0,0,0,1
0.265608,-11.0115,11.4762,111.302,-8.34765,-27.0798,223.751,-7.68166,20.9494,-221.804,0,0,0,1
0.269514,-10.9622,8.64745,-941.878,-8.45167,-26.03,285.826,-7.60159,19.9524,-282.326,0,0,0,1
0.27342,-10.9439,4.11826,-23.2147,-8.551,-24.8469,307.607,-7.52579,18.7438,-346.166,0,0,0,1
0.277326,-10.9301,8.46609,1490.23,-8.64577,-23.627,303.785,-7.45516,17.2482,-393.551,0,0,0,1
0.281232,-10.8778,15.76,1286.74,-8.73557,-22.4737,282.457,-7.39105,15.6694,-389.166,0,0,0,1
0.285138,-10.8069,18.5181,613.107,-8.82134,-21.4204,294.707,-7.33275,14.208,-382.145,0,0,0,1
0.289044,-10.7331,20.5496,723.477,-8.90291,-20.1715,360.977,-7.28005,12.6841,-393.769,0,0,0,1
0.29295,-10.6464,24.1699,1015.61,-8.97892,-18.6005,458.358,-7.23366,11.1319,-368.86,0,0,0,1
0.296856,-10.5443,28.4835,1004.86,-9.04821,-16.5908,513.415,-7.19309,9.80255,-301.81,0,0,0,1
0.300762,-10.4239,32.0199,719.26,-9.10852,-14.5897,499.672,-7.15709,8.77416,-270.466,0,0,0,1
0.304668,-10.2942,34.1024,521.956,-9.16219,-12.6873,556.563,-7.12455,7.68967,-386.845,0,0,0,1
0.308574,-10.1575,36.0974,635.091,-9.20764,-10.2418,809.124,-7.09702,5.75212,-643.346,0,0,0,1
0.31248,-10.0122,39.0637,823.422,-9.2422,-6.36645,1163.84,-7.07961,2.66386,-879.352,0,0,0,1
0.316386,-9.85232,42.53,750.149,-9.25737,-1.14986,1322.93,-7.07621,-1.11738,-981.755,0,0,0,1
0.320292,-9.67992,44.9239,500.079,-9.25118,3.9683,1210.76,-7.08834,-5.00561,-902.388,0,0,0,1
0.324198,-9.50138,46.4366,339.35,-9.22637,8.30859,944.58,-7.11531,-8.16683,-622.037,0,0,0,1
0.328104,-9.31715,47.5749,277.25,-9.18627,11.3474,629.766,-7.15214,-9.86497,-268.046,0,0,0,1
0.33201,-9.12972,48.6025,270.228,-9.13773,13.2283,444.758,-7.19237,-10.2608,-23.0954,0,0,0,1
