t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2642.500000,0.000000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.510000,0.010000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.520000,0.020000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.530000,0.030000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.540000,0.040000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.550000,0.050000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.560000,0.060000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.570000,0.070000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.580000,0.080000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.590000,0.090000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.600000,0.100000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.610000,0.110000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.620000,0.120000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.630000,0.130000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.640000,0.140000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.650000,0.150000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.660000,0.160000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.670000,0.170000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.680000,0.180000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.690000,0.190000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.700000,0.200000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.710000,0.210000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.720000,0.220000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.730000,0.230000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.740000,0.240000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.750000,0.250000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.760000,0.260000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.770000,0.270000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.780000,0.280000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.790000,0.290000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.800000,0.300000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.810000,0.310000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.820000,0.320000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.830000,0.330000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.840000,0.340000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.850000,0.350000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.860000,0.360000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.870000,0.370000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.880000,0.380000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.890000,0.390000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.900000,0.400000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.910000,0.410000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.920000,0.420000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.930000,0.430000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.940000,0.440000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.950000,0.450000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.960000,0.460000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.970000,0.470000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.980000,0.480000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2642.990000,0.490000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.000000,0.500000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.010000,0.510000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.020000,0.520000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.030000,0.530000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.040000,0.540000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.050000,0.550000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.060000,0.560000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.070000,0.570000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.080000,0.580000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.090000,0.590000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.100000,0.600000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.110000,0.610000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.120000,0.620000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.130000,0.630000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
2643.140000,0.640000,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,18.385067,-15.426903,-41.569219
