t_s,sample,event
2.180000,218,toe_off
2.550000,255,mid_swing
2.600000,260,foot_strike
3.280000,328,toe_off
3.650000,365,mid_swing
3.700000,370,foot_strike
4.380000,438,toe_off
4.750000,475,mid_swing
4.800000,480,foot_strike
5.480000,548,toe_off
5.850000,585,mid_swing
5.900000,590,foot_strike
6.580000,658,toe_off
6.950000,695,mid_swing
7.000000,700,foot_strike
7.680000,768,toe_off
8.050000,805,mid_swing
8.100000,810,foot_strike
8.780000,878,toe_off
9.150000,915,mid_swing
9.200000,920,foot_strike
9.880000,988,toe_off
10.250000,1025,mid_swing
10.300000,1030,foot_strike
10.980000,1098,toe_off
11.350000,1135,mid_swing
11.400000,1140,foot_strike
12.080000,1208,toe_off
12.300000,1230,mid_swing
12.500000,1250,foot_strike
